Gene,GH23,GH46,GH1284,GH1298,GH1332,GH1352,GH1520,GH1547,GH1603,GH1660,GH1834
P2RX1,0.107486,0.127967,0.02145,0.077317,0.003768,0.03396,0.027752,0.025254,0.033363,0.007914,0.060566
DHX40,14.490428,16.458899,16.826237,23.827589,9.46307,23.897106,12.941116,20.267172,10.353421,20.632948,8.55913
KRT37,0,0,0,0,0,0,0,0,0,0,0
TUBD1,1.477578,1.500323,2.141341,1.467457,0.894922,1.651305,1.254822,2.147902,1.028533,1.376865,1.536688
KPNB1,17.504675,16.254566,12.540677,26.413549,12.19175,30.124874,14.440915,25.397991,13.645011,28.360521,13.598226
GOSR2,14.418584,10.618798,7.458247,21.562824,14.594335,25.325632,16.288815,22.873386,14.079304,20.913195,12.475472
PNPO,7.492947,6.254277,3.386087,8.198171,4.845782,6.815623,4.88981,11.524105,5.606012,6.958819,4.770439
RPS6KB1,4.341614,4.987558,3.881437,5.359052,3.674937,6.030711,3.53259,4.878461,3.649101,4.558494,4.284905
TRIM16L,0.206026,0.539935,0.063605,0.431381,0.21998,0.904872,0.063223,0.447041,0.185864,0.327763,0.505771
CDK5RAP3,16.778124,16.606302,11.052963,21.345387,13.41754,17.118233,15.977248,13.261204,12.676227,16.877167,11.666989
CBX1,16.180237,13.595143,11.25973,17.132614,6.142638,20.503218,11.807576,23.236536,7.424117,16.612915,9.407598
RECQL5,2.901404,2.172625,2.298303,4.151491,1.153262,3.635998,3.59167,2.409574,2.719635,2.972128,2.249512
PIGL,1.95635,1.278393,1.915163,2.556763,1.842982,2.039803,2.499507,1.70467,1.857037,2.368977,1.826478
GALK1,0.663408,0.711411,0.667607,0.371735,0.368774,1.174043,1.874627,0.828629,0.148077,0.927047,0.645394
INTS2,2.384767,2.453419,2.316069,4.423118,1.728165,3.64978,2.329417,4.370154,2.907951,3.513835,2.276916
CAMTA2,4.58823,7.610887,3.797452,5.72438,4.484694,6.783164,4.960626,6.376039,2.774516,4.334882,4.227613
MED13,6.329792,7.800529,5.309769,5.684492,5.363649,8.550941,5.641953,10.408574,5.352118,7.162825,6.398937
HOXB6,5.989816,0.00585,5.194963,0.344405,0.8024,0.384142,0.009463,0.828859,0.087189,0,0.677404
ENO3,0.475256,1.548797,0.083033,0.234002,0.061424,0.12984,0.622345,0.09814,0.141056,0.060026,0.146698
PFN1,56.572632,46.153488,35.194977,51.865608,24.388527,73.487778,55.000217,50.10358,23.90851,66.847786,26.732113
RNF167,10.261736,14.372578,7.686552,21.80127,10.901621,14.829962,11.695243,16.616171,9.589359,15.796703,8.313008
SLC25A11,10.609136,8.518243,7.554699,9.884571,3.931292,13.382703,7.616319,10.247305,5.048888,9.305289,4.383369
RASD1,36.840851,44.171085,13.892704,6.748416,60.154243,24.621536,32.369602,34.895866,8.65486,34.650116,8.941466
CHRNE,0.445428,2.952532,0.38968,0.725166,0.226836,1.368075,0.681574,1.132986,0.37489,0.895101,0.645319
RAI1,2.593697,5.216847,2.404129,3.555526,2.084641,4.754807,4.395158,5.883406,2.042732,3.124719,2.954349
NUP88,8.342113,4.94731,4.291432,5.174729,4.44588,7.272139,3.060803,4.937241,3.277198,6.604895,3.488917
C1QBP,37.733788,19.956461,34.561935,30.791306,8.09817,40.735043,23.568441,26.55658,14.513078,42.268345,7.620637
SLC6A4,0.018345,0.035264,0.052835,0.042077,0.089896,0.039324,0.054992,0.03262,0.045789,0.016168,0.07225
BLMH,2.899804,3.813905,2.133105,4.050982,3.027647,5.580056,3.360522,3.610127,2.16704,4.367286,2.198624
CPD,2.509057,8.981132,1.55906,5.41889,2.991198,3.91925,6.520704,11.011129,3.398712,5.442564,3.97121
GOSR1,6.31319,7.439218,6.05822,9.159263,6.075991,12.342487,5.919039,9.841105,6.445487,9.216438,4.835088
CCDC47,16.525778,19.41407,11.001613,28.304739,7.748999,26.260468,18.510094,25.181997,9.530979,25.00774,11.29503
MED31,7.264418,3.874369,8.044666,6.215451,2.717761,5.423842,4.789636,5.118571,2.897111,6.696914,2.27038
DRG2,5.156464,5.841436,4.194523,4.90138,3.29974,6.817147,6.157437,7.724086,4.12644,5.739875,2.446431
FTSJ3,1.984596,1.909913,2.130298,2.652729,2.349257,3.25449,2.704276,4.111817,2.43974,2.980067,2.097894
AKAP10,3.51746,4.962595,3.600666,4.256608,3.454327,4.362359,3.419205,4.802049,3.387346,3.152409,4.068327
ALDH3A1,0,0.158713,0,0.004265,0.029878,0.05121,0.09845,0.01579,0,0,0.00503
SMARCD2,3.591538,5.948417,2.674664,7.717899,5.052463,8.458164,5.226868,6.915284,4.441441,5.093604,6.060597
ICAM2,1.058189,1.829315,1.339985,1.336503,0.409109,0.644717,2.357578,1.579469,0.644795,1.224051,1.567192
SYNGR2,13.032968,13.906558,9.355669,16.643852,11.825178,21.382475,16.20542,28.193384,11.621688,14.393635,8.071381
B9D1,19.656422,9.03249,11.494873,21.562414,6.220996,14.58436,8.198886,10.365385,7.521446,13.842228,4.833791
UTP6,3.470662,3.555259,3.37138,3.765636,3.21631,4.110692,3.568867,4.073191,2.936796,3.551343,3.41648
DDX5,87.976677,134.036301,74.349609,87.691673,81.228912,109.435677,76.243607,96.061829,79.304626,93.936455,55.429325
C17orf75,3.150656,2.738042,3.477894,3.115699,1.673322,2.77723,2.242319,4.054751,1.330638,3.130341,1.79101
CYTH1,3.083461,3.766641,2.497032,3.907184,2.571172,8.749748,2.399553,6.972806,2.331774,2.814105,3.010428
PSMD11,2.95581,4.070066,2.729952,4.081523,2.501378,4.864755,3.10286,5.459179,3.048489,4.257917,3.095025
LGALS3BP,76.708237,106.981506,37.826271,49.062733,118.586868,52.65839,34.753502,46.62561,29.616392,47.527222,18.177736
ASIC2,2.140001,0.061795,1.459776,1.087008,0.037121,2.676153,0.901498,0,0.014608,3.783119,0.009982
CCL7,0,0,0,0,0,0,0,0,0,0,0
CCL2,0.237907,4.646089,0.180643,0.520338,0.614455,0.307576,3.868306,1.014551,0.912537,0.462995,0.626338
CCL8,0.105693,0.666684,0.156805,0.081778,0.027526,0.064502,0.078521,0.129876,0.035823,0.057197,0.214647
CCL1,0,0,0,0.022041,0,0,0,0,0,0,0
PEX12,5.099566,2.720669,3.747029,6.869245,3.207757,5.524672,2.351606,5.923839,2.517577,6.901709,1.951982
KRT32,0,0.053498,0,0,0,0,0,0,0,0,0
DHX58,1.585799,3.64762,1.438741,1.309771,0.813048,1.870119,1.87618,2.41831,1.149572,1.244878,1.588567
KAT2A,1.584894,6.996824,2.062821,4.078539,2.829731,2.884784,3.955192,4.351278,3.311777,2.628497,2.577973
RAB5C,11.939648,13.664119,8.468637,12.111848,6.992259,17.506914,13.64984,17.25086,6.155822,14.721663,7.095441
NAGLU,4.312768,3.432403,2.965521,3.642987,5.49211,5.445068,5.161045,5.515508,2.938535,5.65761,3.08114
HSD17B1,0.195011,0.256624,0.168377,0.232381,0.184533,0.172001,0.14621,0.142065,0.073351,0.145384,0.15984
MLX,9.41061,6.611356,7.587317,9.480426,4.27059,10.220432,5.554843,11.025169,4.458724,10.340003,4.007689
CNTNAP1,1.309933,2.721673,2.168032,2.073106,1.79549,2.827561,1.885738,2.15342,1.945269,1.195851,2.380093
ABI3,1.055253,1.015633,0.365676,0.476073,0.79354,0.509022,2.711211,0.990961,0.333986,0.613171,0.741112
EZH1,3.689229,3.869869,3.083433,4.55759,3.198404,5.598729,3.990583,3.60725,3.426879,4.655948,3.466743
DLX4,0,0.009871,0,0,0.021622,0,0.007773,0.011873,0.003618,0,0
PPP1R9B,7.554063,5.579484,4.972229,5.546296,5.334184,10.691153,8.486621,9.886302,3.376619,6.724963,5.471437
COL1A1,1.149379,5.67296,0.218012,0.38763,23.987326,0.526923,24.012503,1.593945,1.337907,4.565401,0.871768
SGCA,0.057198,0.097453,0.002779,0.096296,0,0.067067,0.228624,0.026004,0,0.215641,0.013327
PTGES3L-AARSD1,2.332431,3.101746,2.040417,5.259276,2.282834,4.322198,1.983002,3.763409,2.699418,3.518635,2.218101
MRPL27,12.163995,10.012444,10.510384,14.955892,5.900983,16.202192,6.630135,15.342118,5.948689,15.133773,7.024839
VAT1,22.970287,28.930519,21.578583,34.723423,18.924791,42.868828,18.9179,43.086136,17.079039,43.245758,28.0968
LRRC59,7.928556,6.981548,5.630553,8.079561,5.205964,11.866469,6.044662,8.919817,4.162008,9.592084,3.430341
RND2,2.316223,1.435917,1.430559,6.177126,0.232921,2.419585,0.939501,2.886183,0.941678,3.035763,2.888338
ALOX12,0.21906,0.193614,0.243556,0.267826,0.21857,0.281719,0.293991,0.144065,0.239201,0.142046,0.509212
HDAC5,7.256764,13.750546,4.908731,6.412269,10.011466,9.663606,6.274829,13.149996,3.432292,6.683668,8.190655
ABCC3,0.068347,0.021472,0.049968,0.013889,0.068089,0.104643,0.068811,0.032595,0.102058,0.057512,0.007865
LUC7L3,13.792293,22.702101,11.75584,14.671875,8.261168,14.462261,11.920437,13.830531,11.070088,12.379546,11.763581
PPY,0.033743,0,0,0,0,0.0372,0,8e-06,0,0,0.031832
MPP2,1.309469,4.764947,1.601077,3.700021,2.303357,2.81973,2.22295,4.032899,2.707332,1.979304,2.680972
SMURF2,1.612582,2.575246,1.059963,1.449542,1.684883,2.057129,1.671845,3.139256,1.208465,1.948429,2.456721
DUSP3,10.642341,10.93945,9.409448,13.505396,8.568892,23.507713,10.243561,18.962252,8.707562,17.123737,7.262992
CACNG1,0.010798,0.044171,0.005553,0.068802,0.057101,0.042815,0.010284,0.059109,0.051509,0,0.058207
EFTUD2,1.784621,2.637017,2.479814,3.962004,1.580659,2.867468,3.970077,4.499251,2.211394,2.157968,1.939354
HLF,1.489487,6.695634,3.275111,4.407612,6.137871,4.912988,3.829572,4.90761,6.984536,2.142634,3.117122
SLC16A6,1.783102,0.836698,0.939726,1.614063,1.124134,1.241103,2.008759,1.693826,0.903126,5.258986,0.982406
PRKAR1A,73.065269,85.414291,47.220112,87.064606,38.386009,92.805557,60.144588,89.196411,45.886711,89.864861,28.958752
EFNB3,0.73068,1.829228,3.281673,0.193138,0.05949,6.425522,2.857339,1.27174,0.049765,6.198767,2.943089
FAM20A,0.10076,0.648218,0.121944,0.112939,2.175307,0.357843,0.568351,0.435734,1.339591,0.350929,0.188641
YWHAE,55.737865,48.627075,46.089767,70.255463,19.142384,70.494919,39.532269,65.370163,25.947042,72.444771,23.915998
MMD,4.4793,2.267238,2.607812,0.971888,0.479636,1.997855,2.134892,1.436309,0.550769,2.284003,0.56732
RANGRF,2.295059,2.054433,1.809126,2.79933,1.232256,2.689315,2.132175,3.502696,1.522996,2.513801,2.039147
DPH1,7.550438,24.231541,9.015634,14.95559,6.675933,16.379736,8.21499,9.547829,5.22819,13.933388,10.991703
MAP2K6,0.384549,0.681842,0.185388,0.242656,0.18266,0.246203,0.787263,0.096709,0.209406,0.530258,0.270121
DHRS7B,1.854229,2.02019,1.680769,2.105509,1.674664,2.229141,2.023804,3.931447,1.927685,2.088077,2.162839
WSB1,13.341487,24.839743,17.3526,12.429839,10.056785,12.019484,17.198605,11.210975,11.903006,12.710606,23.453037
RCVRN,0.008309,0,0,0,0,0,0.001693,0.005833,0,0.010471,0.157611
MYH1,0,0,0,0,0.001812,0,0,0,0,0,0
SLC9A3R1,1.595427,5.585254,0.734975,3.473804,0.793679,1.441384,2.682982,0.551612,0.666959,0.734563,0.826223
MYH3,0.075612,0.16304,0.094525,0.130785,0.049071,0.069684,0.107238,0.065226,0.089477,0.067835,0.09813
NAT9,4.517138,6.828496,4.865977,7.769189,4.036039,6.039668,6.363526,5.71567,4.464697,4.517996,3.546607
TMEM104,2.458406,1.604586,1.600197,3.809023,2.980396,3.282764,1.783164,5.562103,2.186681,3.50737,2.371343
VTN,0.100274,0.303259,0.304078,0.189713,0.226714,0.326928,0.30175,0.208794,0.242686,0.201184,0.421823
TNFAIP1,2.517699,4.554244,1.727073,2.52359,2.829325,3.237128,2.922753,4.333358,1.698794,2.40196,2.174188
IFT20,35.042854,11.691584,36.725861,25.992001,11.173056,27.360382,14.7549,23.903601,14.007378,32.541462,11.250246
TMEM97,0.268679,0.61898,0.078889,0.433428,0.35903,0.357045,0.44623,0.767844,0.1021,0.580173,0.395504
CDR2L,1.325244,1.163273,2.28196,0.228334,0.229868,1.459932,1.12637,0.252247,0.178082,1.481688,0.171804
PMP22,0.726303,0.558945,0.244986,0.516751,1.747949,0.24531,10.718951,0.296041,0.587403,0.231622,0.119908
FOXN1,0,0,0,0,0,0,0,0,0,0,0
UNC119,2.654812,4.232578,2.680043,3.321146,2.505283,3.726342,5.373178,5.636017,2.643298,3.844064,3.882794
ALDOC,5.749537,6.201254,3.400701,7.916985,2.205571,5.107177,2.756261,11.998052,3.483288,6.915915,4.670784
SUPT6H,13.094568,15.235519,9.605945,15.326849,9.940456,25.140194,10.038397,17.812666,10.869387,18.761297,8.539512
RAB34,0.29691,5.829539,0.472145,0.438469,0.371039,0.530585,3.993924,0.746207,0.331537,0.331816,0.505814
PHF12,4.023884,4.263963,4.890512,7.232988,5.305316,9.383204,5.593688,7.756027,5.995142,5.530519,4.985655
PHOX2B,0,0,0,0,0,0,0,0,0,0,0
TMEM33,16.371439,10.620821,11.611008,22.660824,13.419786,32.989754,33.426727,16.992128,8.450016,36.839466,8.003101
GABRA4,2.469542,1.093769,0.144161,0.787257,0.709535,0.581566,0.182098,2.688168,0.164634,0.82503,1.077022
GNRHR,0.462699,46.747231,0.461598,0.553907,0.614034,0.304648,0.500618,0.269416,1.075539,0.62194,0.68653
SLAIN2,4.203778,4.986602,4.317074,6.145962,4.399631,7.231669,5.995127,6.598074,3.633737,5.425901,3.116178
OCIAD1,55.214855,41.062298,41.509346,56.493877,36.450592,60.489872,64.343445,44.942158,22.642218,65.167023,17.709879
UGT2B10,0,0,0,0.003149,0,0,0,0,0,0,0
CWH43,0.01029,0.141505,0,0.027285,0,0,0.024261,0,0.008854,0,0
DCUN1D4,11.473858,7.390343,9.728451,13.864474,5.953279,15.65365,5.973991,10.550481,8.453222,17.901268,5.580979
USP46,1.814759,1.814884,1.423914,1.859818,0.95568,2.20705,1.959254,1.510412,0.99944,2.009018,1.28133
SULT1E1,0,0,0.004911,0,0,0,0.535963,0,0,0,0.009531
ODAM,0,0,0,0,0,0,0,0,0,0,0
SMR3A,0,0.018991,0,0,0,0,0,0,0,0,0
CHIC2,4.576486,5.785758,4.182136,6.625526,4.147911,5.150566,8.141122,6.379826,3.683314,4.457732,4.626321
NMU,0.042775,0.41669,1.982607,0.067565,0.122732,0.039874,0.348667,0,0,0.017295,0
CRACD,0.124342,0.189599,0.031276,0.228191,0.632135,0.005791,0.024345,0.016545,0.048361,0.071232,0.053137
LAMTOR3,9.548659,4.902823,11.033829,9.076712,3.486485,15.029075,12.411509,8.022543,2.985306,15.263597,3.551228
PF4V1,0.165221,0.201736,0.024489,0.009552,0,0.021047,0.3027,0,0.070763,0,0
NFKB1,2.569659,4.302333,1.832341,2.197409,2.777611,3.303641,4.2026,2.63416,1.949437,2.398762,1.495924
AREG,0,1.554521,0,0.271291,0.059997,0.066356,0.275963,4.114495,0.039563,0.280063,0.035446
MANBA,5.99888,6.045299,3.592952,6.098404,8.180848,5.50103,5.914538,6.142953,3.348988,5.267185,2.770115
UBE2D3,41.128082,36.769516,37.389065,41.868038,31.038437,42.124405,48.56987,39.032265,23.883778,55.693741,27.104376
MAPK10,14.525637,19.117867,18.026455,12.183963,10.728312,13.562377,23.74486,14.327634,9.75629,10.245811,22.160519
ELF2,6.584343,7.273321,6.544487,9.45573,9.700388,9.024262,9.928713,5.844299,7.670992,5.214739,9.37218
NDUFC1,8.756898,7.755366,12.699258,11.419368,6.845688,9.65624,11.828363,9.362384,3.944012,9.474195,5.828071
UCP1,0.021707,0.033366,0.00907,0.028056,0.071577,0.052567,0.009983,0.021791,0.192553,0,0.013257
TBC1D9,3.831793,7.08621,4.503253,8.982091,5.189576,7.153649,10.697296,16.31254,4.020176,8.045828,5.729101
ZNF330,4.426915,5.622396,3.257807,5.172886,2.966517,6.432518,5.433291,4.963311,2.644531,5.675568,2.526444
INPP4B,0.212125,0.125354,0.093188,0.100027,0.126221,0.077553,0.227903,0.127236,0.048333,0.030969,0.019095
GAB1,4.381979,1.990285,4.546319,1.888006,4.077216,2.156843,2.405536,2.184693,1.760764,1.270839,0.992459
KLHL2,8.321458,7.793406,5.20847,10.643078,6.318818,9.450853,8.117629,9.05878,6.047616,10.286335,5.74751
IL2,0,0,0.019527,0,0,0,0.007708,0,0,0,0
CPE,352.812012,198.109833,235.956619,340.163147,340.142548,412.995941,724.992065,326.288757,155.47998,280.014709,123.496094
RPL34,366.703735,165.340088,314.966949,433.452637,93.028519,325.489075,206.491348,271.422852,104.97023,518.201538,127.755913
WFS1,15.48199,14.862068,11.776731,23.267378,11.992205,35.333229,18.335236,23.157066,9.965789,17.085268,14.144624
ANXA10,0.002524,0.06803,0.002035,0.004053,0.037176,0.006191,0.01973,0.005338,0.023747,0,0.039725
GRPEL1,3.408505,4.036118,2.630683,5.586982,3.044396,5.223971,4.85868,6.125187,3.57437,4.381122,3.595475
GAR1,4.629955,3.352058,3.822408,7.479227,2.101266,9.405371,7.128221,6.766281,1.340025,8.484361,1.857231
FRG1,2.08392,1.568761,1.554503,1.934383,0.928532,2.234541,2.013097,1.551799,0.770785,1.9421,0.645597
CLCN3,15.454031,26.983967,11.518613,25.944796,18.372856,25.157393,21.942209,35.358532,14.308426,21.49799,12.224088
