Gene,GH23,GH46,GH1284,GH1298,GH1332,GH1352,GH1520,GH1547,GH1603,GH1660,GH1834
TSPAN6,2.160022,6.586381,1.080608,4.095825,2.932611,1.158344,1.888704,8.640036,3.999302,1.838384,15.782069
TNMD,0.18861,0.204901,0.019262,0.366619,1.161332,0.018295,0,0.496101,1.07002,0.01496,1.57371
DPM1,13.992104,6.663075,12.150244,12.934335,6.000703,14.010909,7.993861,8.190429,3.413774,24.538805,3.317401
SCYL3,1.528567,1.236381,1.570513,1.591606,1.478593,1.802954,1.360106,1.437054,1.212351,1.497028,0.955245
C1orf112,0.557405,0.619264,0.42982,0.511062,0.689526,0.340709,0.433109,0.430458,0.52791,0.323993,0.731964
FGR,0.622585,0.154692,0.035885,0.031544,0.456404,0.083015,0.400771,0.09313,0.063486,0.073072,0.022162
CFH,1.712436,3.347916,1.353707,0.535825,1.038279,0.942438,27.553255,1.132441,0.990823,2.313698,1.184949
FUCA2,15.096587,5.696492,9.652468,8.848763,6.745873,19.465139,9.415996,14.609983,3.843282,20.818022,5.68045
GCLC,0.570508,1.795049,0.592733,1.769018,1.669683,1.029454,1.500005,1.67058,2.272749,0.588158,1.466847
NFYA,4.356471,5.189222,2.531043,4.252586,3.306736,6.132659,3.909058,5.837661,2.577218,4.793446,2.772371
STPG1,1.564944,2.528916,1.663016,2.852399,0.992888,2.766106,1.558896,1.692264,1.496045,1.889722,1.491606
NIPAL3,0.861869,1.425507,0.770091,1.127507,0.829727,1.786201,1.13914,1.047117,0.882816,1.116216,0.780873
LAS1L,2.147684,3.288694,1.678785,4.105714,2.310372,2.460562,3.507122,8.331907,2.536668,2.112951,3.896791
ENPP4,13.247049,8.969209,10.737411,11.864324,10.82788,13.445518,6.902979,19.863253,6.60459,19.07753,7.307532
SEMA3F,0.904484,1.280413,2.744254,0.638984,0.532041,5.437829,1.610772,0.294848,0.390457,7.993211,0.107531
CFTR,0.009758,0.117328,0.023027,0.00457,0.016794,0.005353,0.018117,0.009085,0.007859,0.006921,0.007167
ANKIB1,6.63982,7.162757,6.964185,6.605402,4.908957,9.379142,7.661662,12.110604,4.546992,9.693638,7.847561
CYP51A1,14.609752,19.685341,11.810351,14.436927,9.282016,20.991133,15.716239,23.934698,8.007004,20.712914,8.446281
KRIT1,11.133821,8.067002,8.916816,13.289733,9.068121,15.465963,8.172691,16.006021,10.434346,11.481686,11.453865
RAD52,1.649286,2.235731,1.590169,2.494523,1.708458,1.84519,2.885871,2.133624,2.825219,1.416109,2.544783
BAD,5.419823,9.095428,4.963379,7.815859,2.721438,5.822367,5.506736,7.529073,2.919973,5.889888,4.076709
LAP3,5.34593,12.737053,4.064967,7.244131,3.470375,5.888653,11.870434,8.747399,3.660232,4.679471,3.874489
CD99,24.463331,9.416687,22.960081,37.238056,26.213903,26.241179,53.800121,0.933151,6.589143,20.459452,7.459346
HS3ST1,0.676861,1.299567,0.258453,2.108193,0.028686,0.19642,0.300678,0.114211,0.073944,1.298061,0.074655
AOC1,0.002356,0.002479,0.000691,0.00108,0.00123,0.004749,0.011924,0.002613,0.008907,0,0.019549
WNT16,0.01022,0.072619,0.012174,0.008926,0.022282,0,0.036574,0,0.010549,0.005183,0.023619
HECW1,0.000165,0.001305,0.354832,0,0.103955,0.15159,0.00122,0.000755,0.00054,0.12509,0.000626
MAD1L1,0.387958,0.798839,1.331494,4.33975,0.506771,2.807093,1.894361,4.581695,0.372607,2.249014,0.843278
LASP1,10.208735,10.509301,7.341388,10.554852,8.696154,15.405578,11.046002,16.124613,6.497473,11.484978,9.296192
SNX11,2.593351,2.38404,3.174897,3.299959,1.897866,2.874411,1.894284,3.64679,2.451686,2.921527,1.838607
TMEM176A,6.7944,0.969929,4.852982,0.455021,0.252397,10.311822,6.16635,0.678295,0.186212,3.552088,0.46906
M6PR,9.309003,12.829056,6.593478,11.009364,8.232016,10.599552,13.363635,15.05075,7.121689,13.387699,10.931312
KLHL13,2.528795,1.708663,1.657885,1.394964,3.444966,1.67255,0.531059,2.233301,1.017109,0.756652,0.842391
CYP26B1,0.091078,5.580115,0.076322,1.184918,0.882794,0.257921,4.353047,4.298328,1.246337,0.567588,2.97325
ICA1,3.674789,6.584758,4.100906,12.73501,4.646722,4.784434,4.118479,13.26148,7.07925,4.586047,5.768373
DBNDD1,0.540568,1.740513,0.847648,1.198827,2.392792,1.288078,1.130368,0.579559,0.556792,0.834759,0.580537
ALS2,8.322805,4.459212,5.478354,4.419206,2.682655,11.567612,4.84485,3.557101,3.324066,7.47237,4.791707
CASP10,0.35113,0.458485,0.224602,0.059473,0.217715,0.194043,0.745493,0.270645,0.103351,0.155487,0.310764
CFLAR,3.217718,3.579619,1.694503,2.098122,1.710679,2.332902,3.828826,2.742466,1.412785,2.223532,1.467448
TFPI,0.404886,2.28233,0.384818,0.257441,0.500387,0.083446,3.023416,0.403879,0.671711,0.84281,0.210007
NDUFAF7,3.593883,3.397813,2.654026,3.470309,2.145702,2.932891,2.019011,2.791677,2.043161,3.167509,3.091586
RBM5,15.774963,14.181268,17.909531,25.809965,18.151251,12.948131,21.943163,16.290422,9.822222,20.891481,10.584514
MTMR7,3.181735,5.946032,4.825712,5.436506,1.517874,4.49176,4.988411,6.015124,1.944648,3.418945,1.990175
SLC7A2,0.058399,1.639327,0.101038,0.058352,0.061845,0.067877,1.872049,0.56181,0.179259,0.141722,0.105199
ARF5,17.587227,19.430208,14.98818,31.046217,13.832712,17.232567,22.407747,37.309391,10.166924,21.614834,14.723925
SARM1,1.072019,5.587316,1.131471,2.261746,1.608584,1.727966,1.257812,8.125972,1.432161,1.40421,1.946836
POLDIP2,8.610942,7.338214,6.088058,12.778012,4.773872,13.65668,7.92657,13.547007,5.648565,11.436255,5.626573
PLXND1,11.639767,5.374193,19.051844,1.124127,2.083786,20.536556,11.218593,2.657427,1.53834,14.093118,2.405703
AK2,6.172529,6.369648,5.490348,7.092197,3.2601,5.551325,5.431473,4.203421,6.030177,7.202577,2.943843
CD38,0.361671,1.787119,0.341753,0.223369,0.445336,0.299762,3.44122,0.588922,0.407306,0.031568,0.49431
FKBP4,6.8745,6.044676,3.37123,10.452079,2.751897,11.158633,9.766223,12.663409,5.197735,10.574148,5.409008
KDM1A,10.489968,11.669043,9.385537,12.436449,8.065578,17.486525,8.779178,11.42056,7.618298,17.110081,5.691805
RBM6,5.308902,13.025493,8.144221,11.133558,7.217782,10.439506,10.021299,10.852206,5.486674,5.690093,11.601746
CAMKK1,5.591074,4.449713,4.590979,13.542558,2.869139,10.205474,5.636669,5.240417,5.063787,6.645055,8.119448
RECQL,3.753089,2.548338,2.591225,2.630004,1.436131,4.227856,3.992416,3.545672,1.955291,2.982493,1.97805
VPS50,3.979637,4.044163,3.863338,3.658826,3.328166,4.678517,4.902867,4.875482,3.533696,5.317189,4.175732
HSPB6,0.530477,1.087759,1.123389,0.838568,0.143321,0.736097,14.766174,0.527897,0.202741,0.459833,0.385821
ARHGAP33,0.71448,1.730054,0.832124,1.325433,0.737725,0.684487,2.023696,0.392027,0.534874,0.468955,0.826188
NDUFAB1,34.271198,18.970192,29.749771,34.713093,6.601256,34.98587,19.690479,19.136805,10.413281,42.847118,5.368773
PDK4,35.168911,15.587128,1.908444,6.287878,7.699867,5.380245,41.009197,7.967885,7.344821,36.878113,8.338897
SLC22A16,0.022924,0.001822,0,0,0.011245,0.004629,0.005973,0.002787,0,0,0.008757
ZMYND10,1.992391,1.099843,0.938972,2.839585,0.066545,2.400056,2.29984,2.834688,0.687077,1.517387,1.458903
ABCB5,9.1e-05,0.004408,0.004447,0.001208,0.003012,0.001404,0.001115,0.00409,0,0.005186,0.004134
ARX,0,0.112171,0,3.451643,4.556953,0,0.005481,1.615134,0.8882,0,1.400416
SLC25A13,2.894776,4.621764,1.997913,3.257556,1.735178,2.832445,2.916893,4.56988,3.030056,3.090892,4.623945
ST7,2.381893,4.331024,2.948241,4.483191,3.194307,8.252957,2.981893,8.620918,3.663675,2.314911,4.888032
CDC27,8.754206,8.745508,8.974511,12.377067,4.964822,13.414099,7.09703,10.725629,7.15215,13.458259,5.95087
SLC4A1,0.094244,0.037728,0.103498,0.006118,0,0.129659,0.027568,0.006838,0.28986,0.055264,0.033768
CALCR,0.00105,0.079393,0.005278,0.001717,0.000101,0.000662,0.014355,0.010925,0.00415,0.003061,0.00316
HCCS,5.4589,3.465534,4.504682,4.264689,2.740175,6.089373,3.818384,7.813792,1.961745,6.652973,1.835128
DVL2,5.700726,6.55187,3.828415,6.203914,2.596644,8.353218,7.955993,5.679567,3.946563,7.838601,6.458208
PRSS22,0,0.980542,0.00632,0.08953,0.035616,0.038384,0.09131,0.117393,0.008559,0.016098,0.425124
UPF1,6.191705,8.878566,4.349422,8.96713,9.150206,10.541082,9.523253,12.646865,5.753837,8.142876,6.466056
SKAP2,1.189908,2.85829,1.749916,9.55842,1.250312,1.915089,4.633308,20.029598,5.414819,2.036152,9.859655
SLC25A5,13.022163,14.010719,16.29792,26.051998,9.893277,23.738657,12.917933,22.673374,8.165353,12.327784,8.632732
MCUB,1.695933,1.057112,1.596911,1.615589,1.038679,1.272215,1.41965,1.504004,0.068621,1.44788,1.363059
HOXA11,0.000147,0,0,0.007745,0.007527,0.014132,0,0,0.004867,0.00629,0
POLR2J,14.460268,10.487538,9.810524,11.679747,6.673577,15.323124,16.206827,22.437683,6.034915,15.884407,10.280167
DHX33,0.803349,1.189182,0.801274,1.217278,0.973842,1.247347,1.022811,1.400283,1.168054,0.95494,0.987082
MEOX1,0,0.075262,0,0.004974,0.106923,0,0.05001,0.036194,0,0,0.029224
THSD7A,2.9431,2.630157,1.888141,3.976229,1.070882,3.640204,3.07257,3.868961,1.264892,2.346877,0.727243
LIG3,3.002102,3.203963,2.325168,2.928792,3.343165,3.211013,2.866859,3.758763,3.298077,2.468996,3.338682
RPAP3,4.497241,5.148087,4.027287,4.344251,2.645422,5.813574,5.107504,5.785067,3.391415,5.78616,4.310409
ACSM3,0.096701,0.107093,0.007316,0.024001,0.248704,0.004399,0.07465,0.005819,0.00996,0.012294,0.031183
REXO5,0.999232,0.191739,0.756903,0.806209,0.420688,0.676233,0.492899,0.708054,0.43287,0.767661,0.715974
CIAPIN1,3.983849,4.178626,3.407473,4.577814,2.378351,5.660174,5.09735,3.733922,2.353683,3.986582,2.127902
SPPL2B,3.9548,7.145698,2.904184,8.151614,6.164272,6.421848,10.661784,6.540568,3.52294,4.449129,5.163358
FAM214B,1.70155,2.015598,1.588734,1.713883,2.288116,2.322507,1.438852,3.042057,1.543459,2.299177,1.33618
COPZ2,2.47918,1.38162,2.925186,0.167882,1.020333,1.874065,3.078811,2.784401,0.540131,1.056668,2.031486
PRKAR2B,10.850942,6.353914,7.628497,5.295913,3.588072,10.606274,8.658529,10.859733,4.223192,13.293139,3.626608
MSL3,3.92036,3.311547,3.301338,4.74674,1.985278,4.714584,3.16722,5.331193,2.633941,3.326672,2.496159
CREBBP,5.468324,5.898177,4.627566,5.678996,6.24962,7.6828,5.93286,5.28984,5.264215,7.121111,5.061207
TSPOAP1,1.001966,2.789032,1.192826,1.318059,1.387081,1.423687,2.563281,1.422767,1.420044,2.311216,2.771958
MPO,0.584812,0.09827,0.547886,1.491739,0.018836,0.442325,0.531391,0.824561,0.792621,0.902139,1.258383
PON1,0.099765,1.821985,0.132407,0.075391,0.493951,0.045776,0.21999,3.722467,1.069659,0.069585,0.622398
GCFC2,4.217947,2.957182,2.988632,4.215655,1.713251,3.397419,2.57824,4.731006,2.153756,3.921717,2.452686
WDR54,7.329984,6.707458,5.615497,11.923774,3.260509,9.504394,7.822987,7.099947,4.272337,9.249138,3.829864
CROT,2.340719,2.665001,2.188467,3.245188,1.385822,2.668766,2.21001,3.777228,1.35102,2.117722,2.018387
ABCB4,0.221705,0.145868,0.141859,0.008658,0.147455,0.225471,0.286697,0.224171,0.022567,0.175596,0.013314
KMT2E,9.685764,11.233533,6.858602,8.469415,8.364338,10.68428,9.662702,11.72611,6.465227,7.824968,10.698643
RHBDD2,69.887642,66.692429,55.529991,96.465881,47.907539,117.299255,105.132011,96.096359,29.378981,88.415535,55.622917
SOX8,0.009066,0.592683,0.004343,0,0.054421,0.019435,0.082091,0.037412,0.036142,0.069959,0.005281
IBTK,4.766316,4.698645,5.371928,5.383513,3.340991,6.283053,3.611097,5.875292,3.160849,5.950884,3.574194
ZNF195,3.666869,2.532849,3.08993,5.772041,1.262795,3.88169,4.33903,4.83737,1.726513,3.22906,2.658228
MYCBP2,7.576805,8.733134,7.140942,8.937484,3.953701,12.791595,10.516151,11.75589,7.912734,13.431813,8.057313
FBXL3,2.592561,2.38287,2.260809,2.001241,0.857619,2.875353,3.283653,2.658077,1.079325,2.763136,1.345246
ITGAL,0.369449,0.224284,0.154465,0.123927,0.307084,0.257897,1.150817,0.197529,0.188856,0.062742,0.290835
PDK2,2.722232,2.77779,2.34912,3.26165,2.621711,4.747542,4.158926,3.180679,2.159848,3.392882,2.807343
ITGA3,4.915163,8.745777,4.746076,6.496575,5.199199,8.71651,5.764725,12.18424,4.050588,6.724762,7.811057
ZFX,4.186665,5.599486,1.987815,1.835047,2.170126,3.262188,1.650477,3.281405,1.907307,4.286678,1.749761
LAMP2,26.622501,21.449577,14.472183,22.884197,10.620602,23.845778,24.353062,42.56628,13.73424,31.673849,15.359925
ITGA2B,0.134942,0.206533,0.231501,0.043014,0.324983,0.353556,0.377187,0.092024,0.099953,0.139506,0.121223
ASB4,23.789803,14.731948,13.122579,15.912012,14.026633,27.093864,16.434744,42.038399,6.167592,12.295285,5.452888
GDE1,16.71294,10.943208,11.11799,12.888895,9.170949,18.932684,12.051503,13.406147,6.292542,18.571411,5.072191
REX1BD,4.186423,9.012732,4.803083,9.533834,4.552498,5.356527,7.809708,5.607651,4.440904,3.161334,6.610693
CRLF1,0.946525,0.925319,0.443493,0.214111,0.122359,0.839568,1.133816,0.140086,0.170971,6.403327,0.143729
OSBPL7,0.899187,1.307423,0.771142,0.319312,0.48108,0.813798,0.99463,0.646883,0.307623,0.517372,0.99921
TMEM98,0.761777,2.001986,0.363924,0.150221,0.338922,0.258182,1.653875,0.208364,0.159623,0.282919,0.09254
YBX2,0.001637,0.106117,0.028497,0.006272,0.003569,0.001462,0.072652,0.001278,0.007777,0.002531,0.004825
KRT33A,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,0.184891,0.852178,0.573394,0.450267,0.523555,0.545728,0.53027,0.422376,0.399812,0.180074,0.527936
ABCC8,2.012768,2.768126,2.124565,2.628495,0.370745,2.44127,1.991195,1.094908,4.840858,5.36627,2.612191
CACNG3,0,0,0,0,0,0,0,0,0,0,0
TMEM132A,2.875003,3.072742,2.345069,2.975754,5.046803,3.830189,3.167163,4.607719,0.498335,5.619778,4.712202
AP2B1,28.335089,27.772757,17.201313,36.29781,20.340792,42.198292,24.451206,44.614925,21.064806,47.1325,19.301159
TAC1,0.357922,3.865825,5.922158,0,0,0.267861,0.059071,0,0.039235,0.028742,0.03679
ZNF263,3.576872,4.323309,4.116997,9.892919,4.694496,6.885726,4.477067,7.840407,2.895148,6.693475,1.966986
CX3CL1,0.534601,2.356552,0.053958,0.131848,0.131709,0.200582,0.795847,2.299148,0.256486,0.329081,0.863187
SPATA20,4.531138,6.179907,4.780173,2.186518,2.89338,6.631186,4.003977,2.454829,1.128065,3.562544,2.509216
CACNA1G,0.127535,0.029543,0.434074,1.186976,0.005251,0.435767,0.02743,0.463727,0.052922,0.715284,0.950825
TNFRSF12A,0.549256,20.57058,0.947271,2.509111,3.950977,2.175953,4.825695,4.110624,2.72802,1.025239,0.479063
DLX6,0.009416,0,0.574938,0.030183,0.053148,0.036608,0.012804,0.071108,0.046015,0.006344,0.007089
MAP3K9,1.815952,1.303741,1.369516,2.621533,6.303968,2.735668,1.571119,2.834792,3.056038,3.233788,1.981662
RALA,4.300757,7.079507,4.30037,4.552237,4.707235,6.088008,4.231727,10.6903,3.681171,7.12023,4.93581
BAIAP2L1,0.231389,1.482705,0.182554,0.329713,0.818014,0.513256,0.407307,5.194448,0.280683,0.307749,1.737428
KDM7A,0.895292,2.0655,0.546966,0.570181,0.791228,0.807748,1.038022,1.404531,0.46931,0.679068,1.008666
ETV1,4.94344,3.684722,3.47291,12.114058,1.813908,5.566428,4.497066,8.659664,1.941693,2.790364,2.027267
AGK,1.612637,3.549106,1.192871,2.181269,2.379311,1.613803,2.210351,1.506386,2.341532,1.600931,2.526564
ALDH3B1,0.050974,1.164277,0.308078,0.069807,2.801417,0.399285,0.182413,0.340545,0.818606,0.03968,0.317154
TTC22,0.347087,1.498389,0.457078,1.080362,1.697364,0.021576,0.297763,1.727935,0.758417,2.133941,1.446772
PHTF2,8.421401,2.356658,3.69965,5.095747,2.855631,4.935356,6.262769,8.27597,1.844355,5.378666,3.977089
CCL26,0.190625,0.576682,9e-06,0,0.133619,0.059853,6.237071,0.031473,0.075332,0.082464,0.000107
FARP2,0.817802,1.442618,0.905628,1.432185,0.97928,1.019992,0.999018,0.895368,0.865478,0.858415,2.194677
USH1C,0.004743,5.032121,0.035853,0.101817,0.000977,0.062021,0.579537,0.05109,0.286998,0.054933,0.049705
GGCT,6.049333,4.289566,3.80388,8.203034,1.0374,6.367667,4.571955,10.007156,2.475909,5.145049,4.758153
DBF4,1.257618,0.958964,0.86323,1.498832,0.434445,0.954079,0.898914,1.597174,1.195693,1.450108,1.443202
TBXA2R,0.069177,0.327946,0.02201,0.024326,0.046847,0.037886,0.35251,0.135747,0.017268,0.096856,0.085639
IFRD1,6.380293,15.131778,8.281239,4.830962,4.153526,6.333101,3.862101,6.829723,2.736963,5.553309,4.1152
LGALS14,0,0,0,0,0,0,0.042434,0,0,0,0
COX10,1.206817,1.542646,1.08003,1.268743,0.96028,1.386115,1.064487,2.138816,1.128054,1.71768,1.427474
GTF2IRD1,2.187744,5.289995,2.626323,4.776128,7.778463,4.175133,4.399183,7.651532,2.751373,4.2655,7.55806
PAF1,11.364035,14.376891,6.946439,14.284472,13.208329,16.815357,14.972466,16.981293,6.949996,13.878598,6.855677
VPS41,8.947493,11.204104,6.97882,11.641496,5.611767,10.915339,11.748462,17.327454,8.901297,10.8823,14.77066
ARHGAP44,3.64161,2.792825,2.331984,2.309115,3.83481,5.596612,1.51798,1.773575,2.609366,1.61841,1.888298
ELAC2,3.733548,3.979771,2.747545,4.343185,2.914355,5.311257,3.241843,5.912443,3.648267,4.295397,3.780452
SCIN,0.0221,0.479652,0.004708,0.355806,0.010954,0.008866,0.045131,0.035622,0.039987,0.086955,0.002196
ARSD,2.600095,2.612758,1.311863,0.073311,1.495469,2.102566,2.028039,2.163913,0.071266,1.919098,1.79274
PNPLA4,3.985454,3.647844,2.561447,4.313149,1.583963,4.259867,1.513893,4.013701,2.027257,4.115667,1.959605
MYH13,0.001604,0.002398,0.000491,0,0.002727,0,0,0,0,0,0.007222
ADIPOR2,1.353664,2.014442,0.964301,2.769794,1.144691,1.420367,2.155946,4.846304,1.699862,2.418984,3.837025
CDKL3,0.499792,0.225625,0.501866,1.133614,0.132188,0.41576,0.427857,0.382705,0.556189,0.56014,0.946898
UPP2,0.077096,0.268024,0.041146,0.241799,0.112191,0.031379,0.069779,0.136767,0.440002,0.044794,0.544942
PRSS21,0.011056,0.009059,0,0,0.016124,0.017924,0.053769,0,0,0,0
MARK4,2.481917,3.36926,2.602621,2.31403,3.137062,4.540019,3.507891,3.403399,1.633137,3.470415,2.486582
PROM1,0.018917,0.181355,0.144357,0.019791,0.102852,0.004795,0.076798,0.055764,0.023722,0.006238,0.000369
CCDC124,6.9739,6.793109,4.696053,6.522005,6.669962,12.547887,8.173769,10.60112,3.572472,11.012876,5.084207
CEACAM21,0.016176,0.0612,0.00468,0.01004,0.01824,0.011263,0.039097,0.024974,0.01825,0.006421,0.006712
PAFAH1B1,8.908318,11.493419,8.00716,36.588726,9.56027,15.693183,8.803969,41.649998,22.160807,37.022366,12.264663
NOS2,0.023693,0.377084,0.06365,0.211343,0.020604,0.038017,0.41517,0.011349,0.090266,0.018032,0.07363
DNAH9,0.265364,0.572959,1.039908,0.851902,0.012665,0.461775,0.960561,0.980461,0.694368,0.264754,1.198287
KIAA0100,12.748575,14.546913,6.925524,15.902973,8.405175,15.713444,10.086315,22.439089,12.62781,33.672207,10.046838
SLC13A2,0.014559,0,0,0,0,0,0.013062,0.023428,0.009066,0,0
GAS7,1.743163,0.522359,0.246386,0.00852,0.182512,0.640063,0.782854,0.052186,0.010278,3.834304,2.871917
TRAPPC6A,1.505526,2.746941,2.274766,1.556719,0.933606,3.139392,2.762084,2.837321,1.711569,2.465168,1.560515
MATK,0.192347,0.786861,0.010623,0.166171,0.367116,0.023382,0.609442,0.43344,0.01563,0.008653,0.528861
CEACAM7,0,0.003556,0,0,0,0,0,0,0,0,0
CD79B,41.169899,1.555804,152.083313,261.110077,1.955416,159.8535,2.355871,130.628372,9.211658,199.000153,89.531425
SCN4A,0.272098,0.24226,1.567274,1.155644,1.019924,1.434779,0.4968,4.457982,0.915137,1.512118,1.686679
ST7L,3.632105,5.010757,3.408081,7.219043,0.895717,4.083609,3.123442,3.87916,3.21577,3.608651,2.57899
TKTL1,0.016235,0.08752,0.022452,0.010486,0.00465,0.015697,0.081468,0.065673,0,0.016657,0.000238
PAX6,0.116115,1.063328,0.026349,0.066936,0.006172,0.11062,0.250847,0.141074,0.009253,0.009266,0.306016
RPUSD1,1.016886,1.368564,0.918304,1.720576,1.075573,1.65409,1.385308,1.704081,1.014472,1.429485,1.112452
RHBDF1,0.055796,0.986988,0.088232,0.096604,0.191115,0.23411,0.934389,0.151561,0.160551,0.299356,0.114742
LUC7L,4.857661,9.892243,5.910233,5.771457,6.597065,8.915151,7.15789,7.326627,5.472388,2.869753,2.894548
CACNA2D2,0.541681,0.438591,0.468205,0.277179,0.393815,0.833186,0.392121,0.6041,0.189129,0.523528,0.292151
BAIAP3,28.696165,50.573391,21.81373,65.642807,7.444533,51.889828,43.667625,30.305744,49.744442,28.975067,19.626245
TSR3,5.209369,5.931642,3.422253,6.661992,5.157768,7.301336,4.821551,4.55008,2.831076,4.468783,2.241259
PIGQ,3.043015,8.017229,3.171693,4.810309,7.518984,4.392418,7.400785,3.665103,5.021375,3.814502,2.263412
CRAMP1,2.283806,2.533324,1.294126,3.727175,2.089415,3.110727,2.757968,1.992187,2.016288,2.784723,2.686017
TEAD3,0.702163,0.690115,0.551661,0.152821,0.125315,1.522637,1.25119,0.269043,0.092555,1.798375,0.261365
SELE,0.085233,0.060142,0.133071,0.007919,0.075872,0.023596,0.026975,0.032817,0.060482,0.049783,0.004988
DNAJC11,2.656198,3.945167,2.221388,3.930063,1.846553,3.802528,2.95792,4.042468,2.370915,3.704217,2.05693
FMO3,0.069626,0.341509,0.406729,0.058952,0.030232,0.025664,4.239021,0.700602,0.565581,0.321389,0.571451
MYLIP,4.808676,3.12304,1.47625,3.594836,3.67312,5.230338,3.387895,3.063842,1.572177,3.28274,0.974647
NOX1,0.680369,0.049297,0.394041,0.177512,0.036886,0.711241,0.094708,0.158197,0.03675,0.980264,0.131465
E2F2,0.061672,0.006186,0.022078,0.098231,0.005408,0.0108,0.011858,0.009405,0.020776,0.01896,0.009486
PSMB1,48.529587,33.739025,47.951576,55.740284,21.006887,52.759708,31.22328,52.396664,20.956316,50.745396,17.752703
SYN1,9.200613,11.393555,6.201226,14.759923,8.128585,16.735723,10.611794,17.941235,7.122101,13.238985,10.391993
JARID2,3.114802,2.19036,2.353052,2.44035,1.963259,3.770329,2.588995,2.75424,1.499521,3.738699,2.608997
CDKL5,0.016946,1.610394,0.198607,0.878574,1.454902,0.387663,0.762743,2.888482,0.944674,0.022409,1.746764
CAMK1G,3.497115,1.064745,1.297467,1.975437,0.504986,4.563566,3.00026,1.288797,0.722785,4.606643,1.17756
CDK11A,2.48829,7.240483,2.663599,4.697551,2.022082,3.233951,4.451806,0.833993,2.279247,3.37179,2.537115
NADK,2.628718,4.626651,2.07781,3.547017,2.754326,3.661936,4.140313,3.162313,2.42939,3.383835,2.247377
TFAP2B,0.002909,0.208415,0.043877,0.016233,0,0.002988,0.033562,0.073996,0.0386,0.006413,0.055163
TFAP2D,0,0,0,0,0,0,0,0,0,0,0
DLEC1,0.920952,1.263995,1.175075,1.109911,0.744286,1.66094,0.512459,2.103083,1.029379,1.260932,4.82135
CYTH3,0.928519,2.471771,0.95076,0.817449,1.748858,1.1397,3.428802,4.435054,0.928213,1.394125,1.435025
ADAM22,2.18571,4.042701,1.334322,2.905257,1.097782,3.312725,1.953949,7.871482,5.169062,3.349915,4.795288
SYPL1,13.947365,14.477225,6.845604,11.21456,11.405012,8.913953,12.146738,27.198635,3.412822,8.92574,9.462545
CYB561,10.18699,18.126888,11.299581,22.733658,13.360506,22.040545,17.443003,27.706684,12.745857,19.321617,13.206394
SPAG9,25.319796,23.678415,24.122507,16.133118,18.683653,29.862171,18.621023,21.192263,12.372236,24.372599,11.349176
CELSR3,2.665119,3.860914,2.485706,6.020705,5.539195,5.288992,5.016079,4.688788,3.032053,3.593389,4.329076
AASS,1.200855,3.086539,0.737905,2.218286,1.502798,1.075774,1.829898,3.72209,1.982062,1.568704,2.927393
PLEKHG6,0.029462,0.490609,0.086869,0.361314,0.103845,0.073884,0.088536,1.018091,0.232398,0.056,1.91227
SS18L2,1.600495,1.628009,1.507053,1.764804,0.592066,1.586863,1.337557,1.376549,0.68059,2.028833,0.802335
MPND,1.647931,1.945222,0.771916,1.572915,0.846242,1.194018,1.144436,1.410955,0.651871,1.916852,1.384524
MGST1,0.071379,2.28267,0.221347,0.063449,0.06506,0.016785,0.653095,0.02945,0.049603,0.479014,0.071489
CRY1,6.630591,4.185372,4.318587,2.38196,1.178525,8.231198,6.517285,4.178755,2.361051,8.762488,2.387661
PGLYRP1,0.265908,1.553022,0.371154,0.45948,2.108518,0.298074,0.383564,0.32415,0.608981,0.223118,0.915423
NFIX,1.01219,6.477829,0.398516,0.464935,0.409949,0.628423,5.466284,0.496536,0.296037,0.322477,0.386635
ST3GAL1,0.543102,2.145295,1.884524,4.328447,3.430181,2.041492,6.710642,3.376385,2.450503,4.121935,2.64291
MMP25,0.198111,0.163975,0.182842,0.091591,0.198806,0.188768,0.303854,0.096474,0.10384,0.199009,0.178487
IL32,2.652737,1.935333,1.516374,0.71759,0.868456,1.372293,5.469177,0.988656,1.148534,0.64319,0.546315
PKD1,8.791743,19.043831,14.100626,13.264876,15.155547,18.12178,23.023067,5.522942,11.708541,9.64768,13.272565
MAPK8IP2,4.956316,7.844444,4.813111,10.920341,4.622274,9.022905,5.313247,11.545695,4.119686,7.946741,4.585464
MED24,4.504397,5.252326,3.532137,6.669961,4.814211,7.931866,4.560695,6.649606,4.742564,7.454731,4.380538
RHOBTB2,1.201179,1.487967,0.962256,1.223316,2.825452,1.775624,1.198174,2.486609,0.517334,0.904558,3.027968
HEATR5B,3.35222,3.027292,2.648161,3.58846,3.051844,3.700641,2.972054,2.735108,2.836566,3.702712,3.685034
SEC62,24.79562,22.808697,21.833584,28.390566,10.73306,36.431667,29.84878,24.440931,13.348718,31.148438,12.00966
RPS20,299.537292,203.044861,188.346725,380.3815,103.81382,284.86264,177.520157,296.778687,124.109253,422.667023,142.735916
CSDE1,39.147488,33.781326,38.740738,62.614761,21.075098,59.077259,45.341095,32.797718,32.356056,71.338181,14.790903
UBE3C,5.920806,6.762091,5.59095,6.258767,5.212929,7.667248,8.188753,9.59403,5.758223,7.051412,7.4951
REV3L,6.41941,7.675955,7.091886,8.048066,7.470633,9.113683,5.136009,6.886931,7.159209,6.375061,7.334619
TENM1,0.042937,3.052493,0.263085,8.501274,1.029483,1.949194,1.088834,0.004499,3.62777,0.253305,0.019044
