"","logFC","logCPM","PValue","FDR","sig"
"TRPC3",-1.39734066324062,5.79524213036015,0.00527992727750593,0.128352858229801,"Down"
"SCGN",1.41590441451962,6.0021245767984,0.00528624658600601,0.128352858229801,"Up"
"LTBP2",1.91895675576807,4.65389520480107,0.00529551240839957,0.128352858229801,"Up"
"QPCT",-0.945882557423959,7.13308914955141,0.00529823790569609,0.128352858229801,"Down"
"EPS15",0.737355863804212,6.45112337304873,0.00540534503524851,0.130555799003653,"Up"
"TPM2",1.18339177451383,5.56688509603582,0.00540648641455688,0.130555799003653,"Up"
"TMEM196",-1.33392647018422,5.23933789591012,0.00541240160747009,0.130555799003653,"Down"
"PALLD",1.0738804424643,5.62888037945888,0.0054475823860659,0.131216695159225,"Up"
"GRIK3",2.00439134392092,4.58041907747408,0.00547152244370038,0.131605335125866,"Up"
"USH1C",1.87238802451755,4.47971974821259,0.00547971927339279,0.131614738844267,"Up"
"RTL8C",-0.836558307449754,7.61734050798716,0.00548904935319718,0.131651296080025,"Down"
"AC024592.3",-0.876803348427573,5.72096218816145,0.00552001202144938,0.132205856098946,"Down"
"PTGDS",2.45357636599243,6.04620533684532,0.00555904672283778,0.132951896161373,"Up"
"AL691442.1",-0.934595351004937,5.3702246571419,0.00559890201623171,0.133715420532129,"Down"
"C11orf96",1.32874532654849,5.4372854590366,0.00563551525138503,0.134216332121999,"Up"
"F11R",0.990506838569431,5.45580002604377,0.00567287208240104,0.134216332121999,"Up"
"HSP90AA1",-0.502625330089274,9.70052547369775,0.00567632390567399,0.134216332121999,"Down"
"KLHL29",-1.0234127643478,5.42104737005856,0.00568902710598707,0.134216332121999,"Down"
"PLPP2",1.74227863940841,4.5101570676487,0.00570899757097726,0.134216332121999,"Up"
"ARL4D",1.71250301923486,4.52628862888804,0.00570899757097726,0.134216332121999,"Up"
"TSPAN1",1.67798364611032,4.50675071771266,0.00570899757097726,0.134216332121999,"Up"
"COL9A3",1.61612471987743,4.52903291835431,0.00570899757097726,0.134216332121999,"Up"
"PLD5",1.58957666529124,4.50144054453519,0.00570899757097726,0.134216332121999,"Up"
"FRMD6",1.5874809165954,4.47487876481184,0.00570899757097726,0.134216332121999,"Up"
"VEPH1",1.56043128368901,4.49431268973351,0.00570899757097726,0.134216332121999,"Up"
"PRKCSH",-0.839064203579395,7.7347637762888,0.00571734980850417,0.134216332121999,"Down"
"PBXIP1",-0.84095139599194,8.58916206242486,0.00572706997046238,0.134216332121999,"Down"
"GTF3A",-0.781408900492878,6.65564393383734,0.00573131837541303,0.134216332121999,"Down"
