Geneid,0P1,0P2,0P3,20P1,20P2,20P3,8P1,8P2,8P3
ERG4,6067,5093,5178,2635,2781,2343,4330,3710,3465
ERG5,2042,1597,1447,1570,1893,1528,1519,1290,1160
ERG6,5959,6066,4996,5831,6122,6225,7681,6790,6406
ERG7,5010,4534,3887,4346,4811,4005,6962,4863,5073
ERG8,4253,5674,5753,2048,2994,2500,3684,3749,2959
ERG9,4251,3566,2647,6942,6637,5349,10534,7076,7704
ERI1,362,432,224,230,399,347,467,304,260
ERJ5,1052,1263,801,507,501,403,651,640,487
ERO1,834,982,839,2822,2753,2296,6242,4793,4917
ERP1,10739,12661,13229,2737,3203,2717,3763,4240,2847
ERP2,791,909,836,429,576,378,740,535,630
ERP3,476,547,339,369,417,394,714,704,568
ERP4,911,851,812,637,589,541,965,921,806
ERP5,5807,5867,6240,5959,7036,6193,6054,5605,5209
ERP6,1503,1417,1147,1688,2062,1627,2518,1894,1844
ERR1,12,3,33,141,60,60,151,109,119
ERR2,21,67,37,79,108,79,137,115,121
ERR3,62,108,56,254,160,187,211,244,208
ERS1,639,566,566,910,1020,773,1026,947,743
ERT1,1019,677,627,909,1005,757,1442,987,1030
ERV1,928,893,688,1106,1594,1354,1702,1730,1166
ERV14,1537,1502,1644,1588,1678,1380,2122,1838,1854
ERV15,186,98,110,154,188,151,255,150,169
ERV2,1421,1234,821,1408,1436,1271,1498,1253,1178
ERV25,5507,5718,5227,4521,4802,4140,5344,4814,4644
ERV29,1521,1543,1333,2705,3206,2565,2841,2190,2248
ERV41,4025,3732,2956,2531,2762,2604,3373,2720,2640
ERV46,4315,3955,3870,7590,6841,6126,10124,7774,8123
ESA1,1178,1067,864,1187,1025,1005,1332,1160,1037
ESBP6,10082,9135,7651,18560,19345,16590,24527,19278,19313
ESC1,864,785,550,617,490,553,1027,601,572
ESC2,831,619,440,828,803,526,1044,529,691
ESC8,1075,898,892,708,440,341,715,667,525
ESF1,7208,6459,5539,5784,5936,4832,4662,3792,3728
ESF2,246,309,222,254,322,240,583,453,343
ESL1,2393,1912,1758,1509,1570,1356,2369,2054,1675
ESL2,1058,1225,795,1898,2434,1971,3023,2112,2113
ESP1,1951,2398,1780,501,783,570,1064,972,731
ESS1,5318,4762,3746,7074,5446,5354,7563,7347,7196
EST1,1490,1100,1065,1746,1973,1645,2325,2055,1842
EST2,1221,823,834,547,837,668,743,486,532
EST3,830,971,816,723,1201,991,1182,1271,1029
ETP1,825,870,493,734,746,725,1023,916,808
ETR1,2061,2142,1769,10860,12632,10381,8758,7813,6846
ETS1-1,0,0,0,0,0,0,0,0,0
ETS1-2,0,0,0,0,0,0,0,0,0
ETS2-1,0,0,0,0,0,0,0,0,0
ETS2-2,0,0,0,0,0,0,0,0,0
ETT1,1294,1220,1168,382,468,351,453,229,346
EUC1,294,167,210,285,443,300,752,450,516
EUG1,1134,924,704,2106,2962,2118,6067,3768,4167
EXG1,6599,6032,5194,3776,3717,3244,3685,3042,2841
EXG2,3069,2597,1976,2260,2858,2228,3963,2949,3193
EXO1,1090,967,845,959,1300,1046,1618,1438,1093
EXO5,3710,3175,2786,2784,2902,2569,3493,2496,2669
EXO70,448,508,496,327,408,247,443,278,431
EXO84,663,630,835,789,804,688,1051,916,940
EXP1,389,697,482,478,387,463,444,450,499
FAA1,4116,4017,3396,10304,10839,8859,15467,10135,11538
FAA2,1885,1599,1162,6488,7136,5755,7226,5458,5580
FAA3,2923,2025,1951,3813,4148,3858,3852,2858,2978
FAA4,6249,6033,5191,6815,7136,7097,6762,5245,5692
FAB1,1669,1317,1417,1368,1041,1018,1795,1440,1421
FAD1,1381,1500,1258,1708,1703,1499,2239,2307,1878
FAF1,259,162,126,201,191,126,269,184,288
FAL1,283,151,176,207,236,258,427,395,393
FAP1,1424,1608,1684,1371,1120,1036,1387,1120,1253
FAP7,795,819,853,356,504,496,520,546,415
FAR1,31133,32419,31756,4552,4800,4397,4920,4287,3904
FAR10,149,125,80,83,119,179,335,237,295
FAR11,1885,1612,1343,1768,1992,1685,2382,1924,1984
FAR3,315,334,260,484,536,404,705,542,338
FAR7,87,276,83,249,190,215,406,343,200
FAR8,1283,1663,1057,1408,1570,1138,1684,1691,1510
FAS1,22294,26548,25054,14071,16544,13741,17436,14901,12872
FAS2,21581,21684,21228,8896,10070,9740,10588,9646,8667
FAT1,2133,2133,2124,1355,1270,1024,1907,1506,1549
FAT3,1803,1050,988,6719,8011,6927,8650,5340,6324
FAU1,510,489,545,573,601,583,550,574,475
FBA1,31552,35139,36798,46375,46645,41207,49051,47142,40948
FBP1,1872,1858,1454,9565,11747,9875,15711,14107,12273
FBP26,1208,1307,1153,1452,2451,1941,2577,2424,2020
FCF1,1672,1871,1745,615,796,651,661,625,426
FCF2,1536,1763,1734,544,484,560,437,383,410
FCP1,1078,1045,900,1107,1187,969,1732,1406,1434
FCY1,3390,4047,3717,2468,2859,2425,3707,4153,2828
FCY2,6398,5268,4723,5048,5708,5319,3828,2895,3091
FCY21,1663,1641,1484,1762,1691,1233,1956,1340,1481
FCY22,868,757,751,627,650,427,948,1228,762
FDC1,2768,3156,3039,2028,2400,2000,2650,2526,2500
FDH1,88,58,208,4496,3768,3240,2589,2517,1948
FDH2,454,488,389,19127,15696,14642,15634,15244,12683
FDO1,699,463,620,338,276,256,436,246,349
FEN2,2096,1267,1294,1885,2156,1756,2645,1731,1904
FES1,3609,3430,3441,2598,3268,3077,4284,3608,3475
FET3,15625,17056,13619,28519,30493,25998,40725,30703,30271
FET4,8548,7482,6399,5393,6059,5135,7075,5404,5593
FET5,1449,1808,1219,1573,1629,1541,2600,2155,2224
FEX1,216,241,321,168,251,214,296,304,190
FEX2,190,154,109,230,172,115,167,183,161
FHL1,1945,1980,2169,1409,1225,1172,1500,1196,1334
FHN1,271,248,245,630,683,684,1216,976,843
FIG1,145,150,401,142,103,119,144,148,114
FIG2,1147,938,803,906,935,704,1170,781,726
FIG4,1283,1595,1283,792,1091,905,1387,1091,883
FIN1,510,563,522,510,429,391,660,679,457
FIP1,747,458,443,546,763,637,970,553,838
FIR1,496,405,283,573,519,462,698,427,462
FIS1,513,684,605,1200,1190,1064,1543,1364,1352
FIT1,2169,1791,1280,1948,1919,1822,2621,2024,2033
FIT2,428,481,443,772,1231,1257,1157,1138,891
FIT3,32087,27593,23555,102124,112758,104232,173162,146418,132751
FKH1,552,680,730,557,628,593,638,582,577
FKH2,980,641,630,1253,1292,892,1459,1010,1118
FKS1,11797,9089,7327,4511,4771,4101,6170,3810,4858
FKS3,1844,1904,1133,1246,1297,1017,1980,1275,1271
FLC1,11350,9595,7923,9205,10359,9409,11794,8907,8894
FLC2,857,502,417,2539,2242,2276,2979,1618,1875
FLC3,1002,907,633,1048,992,887,1207,770,846
FLO1,1745,1721,1157,1431,1518,1282,1594,1246,1342
FLO10,1152,602,589,1345,1461,1295,2173,1449,1637
FLO11,288,252,238,480,400,453,565,276,451
FLO5,4414,3913,3445,3208,3906,3002,4276,3185,3078
FLO8,3409,2997,2730,2101,1795,1610,2479,2288,2033
FLO9,2230,2437,1758,2768,3182,2669,3248,3206,2808
FLR1,8383,7192,6496,6214,7815,6769,10004,8395,7166
FLX1,761,744,837,384,526,467,464,429,290
FMC1,447,542,485,129,116,209,265,163,200
FMN1,1048,1043,960,1035,1263,969,1430,1226,1179
FMO1,947,1046,1069,933,1190,991,1829,1668,1399
FMP10,845,1086,751,676,720,799,1044,971,876
FMP16,674,725,598,4549,6036,4791,3946,3522,3253
FMP23,168,113,212,622,687,593,418,417,270
FMP25,2693,2643,1989,2176,1947,1658,2329,2204,1967
FMP27,2078,1895,1540,1632,1978,1557,2091,1749,1607
FMP30,1254,983,850,816,765,592,1041,707,894
FMP32,434,664,508,325,226,211,338,337,352
FMP33,671,544,659,1137,1250,1154,1806,1343,1515
FMP40,1163,1078,969,8974,8527,7107,9544,6787,7447
FMP41,853,821,816,1284,1423,1342,1489,1256,1028
FMP42,778,524,359,729,817,751,1124,673,828
FMP45,831,409,321,6006,5409,4786,8196,4251,6087
FMP46,976,583,726,7035,6694,6092,8168,6461,6513
FMP48,393,549,188,3657,4588,3609,5548,4323,4168
FMP49,0,0,0,0,0,0,0,0,0
FMP52,4074,3379,3239,12465,10259,8508,13215,10396,11223
FMS1,1741,2124,1632,2445,2673,2145,2836,2425,1924
FMT1,121,19,41,212,128,121,269,127,138
FOB1,692,797,687,1087,1419,903,1139,831,814
FOL1,2154,2196,2026,1226,1238,1063,1368,1104,934
FOL2,4623,5041,4602,5571,5495,4450,5786,5586,4635
FOL3,810,978,990,537,422,444,713,617,614
FOX2,2061,1741,1638,9077,9924,8598,12252,8773,9082
FPK1,710,507,472,794,1170,853,1816,1345,1219
FPR1,11303,14272,12239,4139,5557,4671,4728,5082,3851
FPR2,1679,1678,1307,918,839,743,898,881,682
FPR3,4675,5494,4789,3143,2933,2699,3484,3591,2708
FPR4,2060,2896,2087,340,522,549,608,593,584
FPS1,4939,5045,4225,5213,5410,4819,7454,6738,6035
FPY1,1055,1285,1040,1012,1589,1292,1951,1676,1351
FRA1,3747,3626,3631,4102,4052,3987,5803,4730,4823
FRD1,2008,2463,2207,4323,4135,3369,10131,8909,8272
FRE1,13116,16266,13249,4164,4656,4181,3457,3051,2706
FRE2,3923,4033,3886,3107,3282,2728,5080,4630,3883
FRE3,3624,3872,3189,3230,3935,2966,5968,4636,4270
FRE4,1496,1624,1322,1945,2184,1991,2392,1933,1791
FRE5,1698,833,675,2106,2159,2008,3444,1493,2165
FRE6,7200,6954,5702,7239,8270,6636,8586,6001,6222
FRE7,10078,9100,8705,1886,2434,2184,2539,1747,1716
FRE8,937,324,382,906,769,587,1082,640,907
FRK1,459,317,305,784,583,498,662,486,457
FRM2,179,188,163,235,151,140,320,173,173
FRQ1,1419,2255,1806,572,697,409,709,836,747
FRS1,1582,1812,1604,823,1276,1215,1875,1425,1538
FRS2,4083,3906,3690,3718,3699,3471,5746,4215,4795
FRT1,1176,1209,789,1828,2179,1705,2618,1759,1717
FRT2,873,747,874,2400,2282,2073,3508,2761,2526
FSF1,2000,2513,2086,2613,2319,1957,2951,2275,2109
FSH1,2259,2291,2081,2481,2322,1877,3069,2543,2310
FSH2,1309,946,685,1752,1324,1405,2133,1774,1548
FSH3,458,708,571,311,338,295,397,386,426
FTH1,2066,1908,1355,2175,2408,2411,3147,2213,2110
FTR1,4364,3165,2609,6127,6692,6403,8434,6270,6060
FUB1,3811,4660,4253,3713,3671,3377,3264,3061,2956
FUI1,5063,4382,3595,6052,6023,5312,6953,4940,5301
FUM1,10975,13058,11531,13728,14683,12054,19784,18458,16127
FUN12,8979,9563,9311,2816,3961,3705,4615,4267,3685
FUN14,785,782,780,891,1041,802,948,905,724
FUN19,2433,2080,1831,3141,3293,3126,4773,3566,3373
FUN26,1890,1418,973,1395,1629,1612,1899,1215,1503
FUN30,853,1034,920,431,382,441,461,510,437
FUR1,1459,1126,1030,765,816,814,1285,1175,1026
FUR4,7063,5661,4603,4576,5167,4730,5223,4186,3878
FUS1,1231,1292,1493,796,1042,708,978,622,716
FUS2,646,839,821,290,380,364,467,440,422
FUS3,611,660,333,953,1004,883,1430,1200,1141
FYV10,469,483,339,973,1057,927,1382,1143,925
FYV12,16,7,24,17,6,39,62,49,50
FYV4,297,297,318,175,113,134,288,307,173
FYV5,92,39,41,6,21,18,18,32,7
FYV6,125,271,269,467,326,275,410,357,320
FYV7,1133,1014,834,294,283,257,338,330,375
FYV8,1489,1371,1286,1070,1279,1173,1351,1063,1093
FZF1,750,482,721,1154,941,950,1122,696,849
FZO1,1258,1593,1137,978,1336,1094,1490,1176,1164
GAA1,1964,1737,1754,1247,1033,923,1303,1147,1068
GAB1,830,870,698,609,661,522,620,576,489
GAC1,1405,974,696,2796,3142,3017,3090,1855,2158
GAD1,3132,2878,3012,8029,7974,7731,12208,11050,9742
GAL1,96677,101786,94417,42448,41195,33516,83191,65404,66315
GAL10,166798,194501,181953,56503,54590,45846,108652,80072,83870
GAL11,1133,990,937,1080,1496,1599,1948,1435,1535
GAL2,78287,61308,48882,56243,60305,52596,92229,54155,66470
GAL3,7632,7700,6532,5986,5686,4794,12597,7588,9084
GAL4,2802,2205,1944,3284,4182,3378,4208,3132,3008
GAL7,46935,50221,47135,24562,27098,22670,50900,42389,40236
GAL80,28867,27018,23181,28460,29651,25209,52309,39816,39460
GAL83,597,864,387,1117,1150,920,1794,987,1215
GAP1,4852,5525,4545,12318,12157,12361,15728,13825,11570
GAR1,5831,6397,5768,1367,1359,1417,1326,1025,1226
GAS1,26863,25346,21771,5055,5666,4479,8349,7367,6776
GAS2,1959,1343,1371,1574,1891,1384,2002,1239,1186
GAS3,1555,1431,884,818,844,573,902,663,805
GAS4,601,601,781,823,684,540,981,945,726
GAS5,4590,4187,3519,2948,3043,2815,4943,2963,3665
GAT1,1313,1522,941,2527,2707,2503,3770,2586,2951
GAT2,346,240,261,1118,859,1020,1352,893,1096
GAT3,33,11,29,39,41,16,59,18,25
GAT4,82,25,88,73,95,29,155,198,88
GBP2,15374,15993,15381,11366,11923,10463,14787,14013,12985
GCD1,3453,3868,3629,1751,1893,1511,2826,2292,2161
GCD10,882,996,884,873,790,1026,1137,858,875
GCD11,2394,2201,2097,2935,2986,2216,4118,3508,3441
GCD14,2216,2299,2305,1162,1286,1148,1346,1269,1158
GCD2,705,840,674,439,636,509,815,571,575
GCD6,2393,2632,2353,1439,1267,1368,1597,1377,1373
GCD7,1443,1445,1213,892,838,794,1108,880,670
GCG1,1487,1571,1472,1260,1436,1299,2556,2583,2410
GCN1,11469,12891,11709,2681,3048,2896,4275,4038,3671
GCN2,2960,3139,3084,1942,2112,1720,2888,2798,2529
GCN20,3675,2965,2765,1585,1886,1830,2615,1832,1626
GCN3,1367,1106,1130,656,860,729,1404,933,1159
GCN4,157906,169194,150919,146131,165458,129077,130950,129362,103848
GCN5,2044,2313,2002,1333,1879,1597,2271,2015,1778
GCR1,4205,4173,3376,4416,4256,3327,5676,4069,4837
GCR2,2405,2796,2619,2401,2233,1973,2752,2467,2261
GCS1,1801,1676,1206,1466,1417,1094,1948,1601,1392
GCV1,2016,2003,1550,2491,3545,3004,3357,2625,2620
GCV2,1472,1091,1209,2544,3272,2732,2780,2308,2111
GCV3,2580,2519,2893,5466,6962,6031,4860,4746,4154
GCY1,22356,29037,27944,11082,12279,10103,16144,14154,13282
GDA1,5356,5436,5524,2660,3370,2982,3715,2978,3018
GDB1,1928,1852,1821,5874,6148,4972,9217,6461,7250
GDE1,2807,2734,2757,1289,1763,1533,2321,1843,2184
GDH1,23244,26958,25627,8647,9452,7596,17272,14635,13194
GDH2,8771,9437,7975,14924,18573,16322,25956,23773,20827
GDH3,8110,7054,5515,22275,20971,17551,25025,21390,21081
GDI1,989,1034,902,2456,2243,1911,2481,1771,2077
GDS1,2915,1845,1752,2105,2492,2018,2115,1503,1676
GDT1,2220,1939,1782,1243,1236,1181,1255,987,941
GEA1,3133,3544,3054,1128,1179,920,1466,1245,1256
GEA2,2800,2668,2488,920,1114,875,1088,1015,974
GEF1,1576,1587,1326,1069,1098,980,1406,1214,1137
GEM1,608,206,227,899,872,561,983,656,781
GEP3,5371,5657,5466,3390,4142,3290,5486,4527,4382
GEP4,607,955,768,886,803,775,1019,1066,778
GEP5,1414,1411,1256,1664,1661,1530,2337,2034,2181
GEP7,377,381,280,300,299,327,475,309,254
GET1,2866,3361,3550,1092,1085,948,1283,1258,1081
GET2,2542,2182,1587,2731,2941,2689,3106,2349,2279
GET3,3039,2706,2605,2472,2912,2488,3136,2824,2533
GET4,724,716,1052,824,669,545,702,599,555
GEX1,1,26,18,21,26,5,8,1,4
GEX2,934,727,609,1076,882,920,924,599,664
GFA1,3592,3417,2824,1985,2587,2060,3520,2464,2912
GFD1,337,623,445,538,624,602,1242,847,927
GFD2,476,535,308,787,708,632,1098,760,791
GGA1,834,853,601,2653,2402,1745,4011,2454,3051
GGA2,2270,1920,1487,1039,1360,1049,1760,1231,1604
GGC1,2792,2833,2551,1753,1589,1187,2457,1965,1877
GIC1,950,675,548,558,750,650,935,788,621
GIC2,624,89,193,249,441,361,794,263,455
GID10,811,512,453,1442,1723,1501,1855,1591,1420
GID7,1850,1764,1286,3000,3438,2977,5794,3163,3846
GID8,3116,3110,2682,7965,8033,6857,12689,10546,10052
GIM3,864,836,1031,475,374,521,536,462,469
GIM4,670,728,684,187,347,227,406,311,230
GIM5,333,296,351,287,238,217,340,401,226
GIN4,4353,5193,4705,702,859,664,1540,1344,1166
GIP1,629,775,607,1526,1898,1452,1797,1745,1560
GIP2,618,627,470,2167,2106,2124,2883,2084,2258
GIP3,2131,1538,1272,1791,2103,1817,3088,2362,2462
GIP4,1323,1074,793,1313,1398,1180,2021,1125,1710
GIR2,2394,2585,2515,1297,1535,1269,1777,1857,1786
GIS1,917,873,433,1730,1814,1579,3018,2108,2184
GIS2,2455,2269,2239,1808,2256,2257,2258,1992,1964
GIS3,713,634,388,1224,1036,1119,2061,1588,1945
GIS4,850,1224,792,490,721,600,814,856,680
GIT1,337,424,326,348,445,434,682,630,620
GLC3,7745,7239,6059,32858,33759,28047,58341,49056,45754
GLC7,1140,1027,774,1131,952,1037,1367,1117,1196
GLC8,2281,2108,1780,1367,1517,1623,1625,1627,1357
GLD1,1147,1109,934,1156,1536,1337,1824,1784,1670
GLE1,2411,2092,1647,1453,1376,1513,2072,1496,1738
GLE2,2173,2001,1770,2205,2241,1657,2442,1842,2016
GLG1,2340,2486,2023,3629,4892,3756,6858,4382,4867
GLG2,568,271,196,870,980,731,1109,700,891
GLK1,27252,21377,19034,81714,83112,74522,109983,76973,81282
GLN1,7481,6903,5506,6132,6212,6121,6343,4370,3956
GLN3,530,675,353,720,1060,777,1078,798,865
GLN4,4130,4442,4594,1985,2440,1932,2626,2428,2041
GLO1,3286,4342,3010,4768,5618,4869,5557,5721,4435
GLO2,1673,1696,1654,1419,1545,1312,1884,1764,1299
GLO3,2817,3009,3040,1491,1848,1545,2133,2006,1674
GLO4,983,841,747,2301,2324,1960,2295,1995,2010
GLR1,10153,12946,11629,4016,4426,3923,5614,5780,4609
GLT1,8501,8749,8043,4383,4518,4462,5831,5482,4354
GLY1,5412,2472,1405,5183,4508,4298,7689,4344,5425
GMC1,915,693,593,1119,1369,1216,1425,1234,1151
GMC2,38,14,96,67,98,72,60,101,90
GMH1,575,436,343,540,700,615,729,533,615
GNA1,2126,3007,2607,1692,1632,1284,2096,2049,2149
GND1,4123,4109,3484,1877,1733,1492,2597,1998,2129
GND2,1468,993,948,7955,8747,7910,9725,7584,7932
GNP1,2135,1741,1412,2389,2462,2025,3157,2022,2539
GNT1,1230,1388,1147,1321,1386,1163,1543,1281,1266
GON7,884,1096,752,527,394,515,581,603,568
GOR1,1661,1876,1592,2183,2698,2188,4439,4272,3729
GOS1,609,422,290,898,880,712,853,684,703
GOT1,1533,1565,1315,921,851,758,888,935,888
GPA1,5692,6773,5602,2214,3140,2791,2510,2187,1896
GPA2,1726,1176,756,6755,6425,5916,10642,5742,7817
GPB1,1252,1880,1732,1975,1636,737,1632,1685,1526
GPB2,7799,7717,5935,6162,7181,6162,8030,6921,6664
GPC1,1042,979,834,1565,2078,1614,2229,1714,1607
GPD1,1751,1790,1049,6164,5828,5545,11215,8011,8820
GPD2,1146,844,510,3458,3452,2978,5741,3061,4592
GPG1,1219,1289,1238,5882,6631,5801,4450,4154,3591
GPH1,9852,10199,11385,15049,17104,14247,25148,22389,20545
GPI1,815,731,629,1153,1057,1157,1295,906,1019
GPI10,662,690,604,712,809,718,965,864,855
GPI11,1698,1817,1711,470,634,496,538,533,370
GPI12,550,590,484,585,683,640,915,816,682
GPI13,1480,1239,747,1336,1774,1255,1303,960,976
GPI14,1941,1636,1497,1227,1293,1200,1222,972,936
GPI15,780,1076,953,628,776,534,718,613,514
GPI16,5868,5131,5099,5734,6315,5122,7777,6156,5944
GPI17,2119,2292,1936,1452,1724,1532,2364,1930,1763
GPI18,1090,949,624,984,1232,1098,1527,1365,1190
GPI19,139,110,132,101,187,109,131,120,172
GPI2,371,298,224,581,566,506,631,470,483
GPI8,337,495,369,332,425,452,819,534,641
GPM1,32937,39128,34993,33566,36150,30833,28122,26588,22127
GPM2,663,755,765,521,745,596,946,789,621
GPM3,981,1204,1102,616,532,429,483,565,354
GPN2,2008,2178,2331,1686,1712,1517,2394,2311,1578
GPN3,583,746,620,563,598,462,567,432,454
GPP1,9722,11431,11728,8597,10710,9471,4005,3787,3375
GPP2,1007,1212,1011,1526,1676,1701,2526,1896,1889
GPR1,1839,1910,1820,1719,1840,1590,2296,1982,2021
GPT2,1972,2061,1407,3759,4210,3217,6202,4383,4799
GPX1,1215,1410,1529,3840,4139,3373,3862,3795,3294
GPX2,1907,2120,1883,589,733,569,736,676,603
GRC3,582,617,404,461,455,380,758,560,490
GRE1,4018,3565,3152,64670,64526,53785,26542,25560,21768
GRE2,1150,751,884,2774,2786,2279,4389,3160,3665
GRE3,2014,2296,1757,3188,3733,2877,5825,5179,4820
GRH1,6036,4163,2836,7351,7415,5932,11322,7483,8770
GRR1,1023,659,742,847,855,761,1273,811,951
GRS1,7032,7930,7958,2759,3036,2362,3174,2994,2727
GRS2,1486,1800,1430,1291,1186,789,1612,1413,1156
GRX1,2266,2627,2683,3412,3861,3269,3553,3433,2989
GRX2,3868,3834,3324,2927,3888,3352,3766,3458,3055
GRX3,1974,1956,1935,1204,1290,992,1320,1338,1237
GRX4,1702,1669,1200,1500,1503,1140,1905,1676,1485
GRX5,1894,1654,1880,1517,1374,1176,1760,1606,1267
GRX6,240,272,401,761,464,471,815,773,647
GRX7,1025,1186,1072,528,524,654,581,529,522
GRX8,705,644,635,479,391,353,516,424,317
GSC2,6999,6126,4513,12131,14133,13088,14153,10458,10640
GSF2,4135,4472,4100,5713,5301,4626,7572,6394,6240
GSH1,3504,2823,2661,2192,2432,1959,3909,2677,2653
GSH2,2470,3631,2486,1918,2098,1841,2604,2313,2202
GSM1,2044,1758,1397,2129,2173,1931,2319,1489,1771
GSP1,1386,1202,834,1424,1385,1371,1808,1413,1489
GSP2,625,721,527,2161,2384,1988,2675,2620,2098
GSY1,4412,4224,4067,9580,9768,8626,20175,16891,16557
GSY2,4314,3550,3677,7116,6846,5555,10953,9211,8969
GTB1,1583,1404,1470,837,894,1115,1201,1091,967
GTF1,1427,1487,1166,1753,2514,2313,2931,2469,2214
GTO1,1618,1467,1223,1642,1778,1295,1774,1397,1617
GTO3,445,400,281,1708,1602,1514,2046,1405,1740
GTR1,1689,1821,1758,1520,2037,1659,1661,1547,1451
GTR2,2214,2842,3142,1771,1960,1596,2105,2319,1817
GTS1,965,711,658,1556,1552,1391,2553,2006,1926
GTT1,4369,4593,4368,13329,12437,10930,10889,10169,8947
GTT2,2980,2493,2462,3810,4209,2932,5731,4811,4570
GTT3,1633,1103,895,1209,1098,955,1249,775,1014
GUA1,2803,2612,1695,2331,2558,2029,3029,1936,2395
GUD1,917,655,711,1006,1407,1035,1823,1325,1361
GUF1,748,531,419,398,329,362,442,383,348
GUK1,6775,7545,7420,2942,3864,3036,3782,3507,2683
GUP1,2480,2446,2098,1579,1997,1766,2272,1802,1627
GUP2,342,493,349,246,358,259,410,263,241
GUS1,4041,4408,4247,2819,3199,2722,3684,3139,3437
GUT1,14129,10654,9146,32676,28748,25247,36356,27114,29407
GUT2,3509,2532,1956,10287,9372,9371,13805,7249,10535
GVP36,7004,8873,8046,7800,7854,6677,8027,7885,6611
GWT1,1025,915,458,731,1038,678,1212,845,991
GYL1,777,715,1199,721,839,580,1191,975,843
GYP1,1583,1287,1117,1149,1126,1156,1675,1377,1371
GYP5,3115,3276,3210,2082,2371,1978,2978,2760,2437
GYP6,2648,2149,1421,4233,4243,3316,5411,3533,4272
GYP7,2016,2088,1839,4504,4869,4684,7480,5636,6466
GYP8,475,418,335,548,579,388,616,559,460
GZF3,556,501,408,685,583,674,844,447,621
HAA1,1153,752,1049,1835,2135,1955,2615,1530,2106
HAC1,16889,15939,15366,14029,13167,11891,18039,17791,14121
HAL1,1363,1255,1156,2217,2030,1947,3010,2304,2166
HAL5,2810,2622,2415,1739,1918,1577,3605,3070,2691
HAL9,1874,1964,1505,1566,2398,1845,2269,1971,1646
HAM1,1756,2012,1896,531,517,321,514,439,400
HAP1,6448,8011,6614,6527,6882,6121,7684,6662,5596
HAP2,375,315,346,356,597,503,881,670,646
HAP3,1479,2110,1612,938,1098,1049,1510,1487,1294
HAP4,1944,1140,1173,4439,4471,3573,6638,3453,4775
HAP5,1554,1108,1094,1681,1427,1119,2282,1905,1843
HAS1,1555,1297,1451,924,1026,1031,989,915,701
HAT1,436,522,500,338,359,376,410,359,417
HAT2,2375,2158,1890,2164,2371,2065,2830,2352,2180
HBN1,384,584,378,389,327,354,476,423,548
HBS1,1434,1723,1409,715,796,777,1146,1049,999
HBT1,1580,1138,776,4443,4597,4028,4897,3354,3811
HCA4,2392,2946,2311,1279,1483,1302,1297,940,919
HCH1,3551,3946,3531,6602,6474,5104,9962,8267,8250
HCM1,2249,1219,928,1557,1607,1272,2581,1656,1888
HCR1,4678,5859,5381,1828,1773,1585,2253,2262,2110
HCS1,2507,2194,1841,1087,1209,1154,1967,1774,1599
HDA1,1283,1273,1348,311,415,412,646,682,641
HDA2,353,397,271,287,342,316,664,444,480
HDA3,621,567,361,314,324,409,606,542,431
HED1,28,11,14,19,65,54,85,57,63
HEF3,1593,1384,1264,9232,10139,8602,8287,7181,6407
HEH2,2509,3064,3145,1693,1468,1458,2110,2169,1768
HEK2,1959,1754,1404,1898,1780,1518,2953,2544,2359
HEL1,2122,2458,2167,1473,1613,1495,2250,2301,1859
HEL2,766,809,717,1169,990,919,2314,1285,1576
HEM1,4845,4374,4183,5619,5906,5449,7605,5929,6136
HEM12,10929,11012,10561,5938,5484,4712,7714,5977,6454
HEM13,1029,703,752,1991,2204,1967,5498,3541,3798
HEM14,82,38,39,340,291,330,294,193,374
HEM15,769,657,657,715,710,685,703,318,507
HEM2,4601,4448,4229,3331,3476,3161,5978,5388,4752
HEM25,217,280,209,161,229,151,345,207,156
HEM3,692,520,388,843,751,529,1405,940,1106
HEM4,1223,1310,1339,920,949,788,1161,1332,928
HER1,6398,5359,5330,6172,6053,5612,8949,6870,6678
HER2,1102,1289,1266,688,701,526,1047,794,650
HES1,152,127,148,222,184,80,251,241,233
HFA1,1879,2139,1896,1023,1326,1236,1698,1508,1092
HFD1,2388,2132,1970,4797,5342,4693,6927,5697,5383
HFI1,2020,2236,2115,821,832,727,1044,973,929
HFL1,2961,2829,2767,2160,2362,2131,2591,2716,2047
HFM1,2194,1770,1415,1991,2364,1964,2189,1899,1864
HGH1,720,1060,982,327,393,393,321,270,309
HHF1,7705,6472,5705,4661,4251,3944,5884,5509,4399
HHF2,8346,9319,7481,2565,3071,2688,3852,3801,3100
HHO1,777,860,396,870,843,677,1078,795,991
HHT1,4159,4337,4098,2480,3760,3365,4869,4496,3257
HHT2,3315,3388,2961,3946,4237,3991,5542,4808,4214
HIF1,1274,1067,1300,1605,1426,1159,2112,2165,2122
HIM1,1017,797,759,1218,1184,1057,1524,966,1221
HIP1,2959,3066,2973,3292,2821,2766,4314,3372,3239
HIR1,1094,1163,1162,541,618,602,736,716,531
HIR2,1247,1204,936,1004,848,710,1119,978,906
HIR3,2460,2842,2871,709,923,853,1212,1240,1010
HIS1,4153,4468,3776,6686,7069,5694,6446,4854,5163
HIS2,1178,1428,1194,1232,1046,915,1268,1124,939
HIS3,1865,1559,1810,2014,1994,2070,2836,2712,2098
HIS4,2999,3263,2568,5495,5229,4321,8367,5565,6013
HIS5,3413,3239,3113,3340,3374,2651,4526,4006,3597
