Geneid,0P1,0P2,0P3,20P1,20P2,20P3,8P1,8P2,8P3
CUL3,959,685,804,1319,1130,1026,2077,1676,1492
CUP1-1,0,0,0,0,0,0,0,0,0
CUP1-2,0,0,0,0,0,0,0,0,0
CUP2,406,403,303,1405,1178,1344,1724,1281,1233
CUP9,3163,2999,2017,4012,4731,3875,4407,3139,3243
CUR1,549,516,478,1217,1350,1033,2135,1708,1462
CUS1,865,1040,825,916,1030,1050,2440,1825,2126
CUS2,713,1190,802,930,1077,838,1322,1220,962
CUZ1,240,212,245,320,170,173,344,156,208
CWC15,409,385,294,172,380,291,469,256,346
CWC2,1268,1325,1163,554,641,635,637,548,666
CWC21,1898,1833,1904,1763,1532,1910,2172,2072,2191
CWC22,422,597,323,527,583,464,625,465,563
CWC23,925,1006,689,1543,1668,1363,2561,1783,2050
CWC24,252,448,295,629,539,597,834,691,746
CWC25,2571,3461,2656,2454,2036,1857,3044,2258,2291
CWC27,1227,1438,1293,1298,1143,1045,1228,1273,1373
CWH41,1903,2395,2035,1053,932,895,1358,1090,830
CWH43,9040,10144,9996,6788,7114,6368,9058,8167,7376
CWP1,3354,3060,3041,2630,2495,2257,3693,3187,2984
CWP2,127121,139643,123475,25668,40098,32628,53630,55201,47261
CYB2,2273,2546,1872,5176,5274,5235,11955,11880,9760
CYB5,721,697,544,444,540,479,331,281,283
CYC1,6390,6691,6491,883,1244,956,2181,2182,1924
CYC2,838,567,587,533,822,723,1303,956,999
CYC3,7953,9739,9261,9738,8912,8776,9887,9504,9067
CYC7,295,291,378,159,269,237,430,369,308
CYC8,1991,1472,1339,2025,1783,1491,2718,2044,1907
CYK3,1687,1625,1498,738,1185,903,1368,868,950
CYM1,3666,4251,3045,1452,1631,1349,2290,2136,1880
CYR1,6003,5823,5139,3939,3952,3711,4809,4401,3629
CYS3,6465,8737,6673,2243,1904,1880,2862,2296,2038
CYS4,5088,4742,4333,3110,3426,2925,3894,2535,2754
CYT1,964,562,412,1959,1640,1329,2085,1467,1860
CYT2,868,1026,862,434,608,552,763,559,698
DAD1,1107,1497,1494,1257,1473,1290,1510,1662,1460
DAD2,465,398,375,57,52,86,146,114,96
DAD3,306,508,361,132,315,159,266,240,196
DAD4,491,436,417,676,1106,1027,1053,621,805
DAK1,5407,5435,4921,6963,7208,6217,8382,6834,6555
DAK2,633,271,476,669,526,416,1125,1043,1065
DAL1,559,391,328,1280,1278,1222,1267,944,1040
DAL2,3010,3728,3226,4038,3792,3340,6369,6250,5497
DAL3,1539,1643,1228,3981,4170,3353,7083,6649,5564
DAL4,431,486,410,834,942,632,917,704,792
DAL5,2779,2435,1916,2230,2101,1827,2652,2402,2416
DAL7,6640,6496,6148,5817,6721,5514,7401,6362,6281
DAL80,105,224,142,494,630,523,794,613,569
