Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
TMEM245,10.29301,5.541966,2.612176,8.626124,16.367842,15.078015,16.689379
PRUNE2,16.337769,7.899976,0.582408,20.831373,12.072394,13.053813,13.698726
MEGF9,3.486566,2.312109,1.410714,3.382241,8.458459,7.022739,7.380727
TRIM14,0.75251,0.886872,0.749183,0.976288,4.13047,3.404868,4.145415
CORO2A,0.597461,0.705581,0.213718,1.233332,0.94015,1.060704,1.750725
TGFBR1,8.364922,2.194174,0.930768,5.313098,16.69289,9.128496,13.289268
SEC61B,31.461039,7.246529,2.283386,18.452463,38.950474,41.030449,52.011639
C5,0.80017,0.716272,0.481887,1.154928,0.642808,0.626721,0.73803
OGN,1.686288,2.263641,5.132341,1.627565,30.303871,1.23397,9.441893
ASPN,0.959956,1.066977,1.607659,0.584472,3.212821,1.034526,1.714674
ECM2,1.546264,1.342519,2.101726,1.74789,4.63377,1.034083,2.972581
TLE4,12.142967,6.106697,1.478286,11.117629,18.442593,18.283932,14.094881
LHX6,0.026868,0.020492,0.127233,0.019663,0.144481,0.027765,0.113986
PTGR1,7.057436,3.691433,2.546591,5.806662,6.136337,11.937534,15.128613
SUSD1,2.071882,1.694674,1.298648,2.56497,5.048089,3.284625,4.590655
AMBP,0.034857,0.099954,0.24065,0.075474,0.116445,0.071584,0.097197
AKNA,0.240614,1.264293,1.343097,1.049945,3.182209,1.771665,3.152648
TNFSF8,0.132147,0.152074,0.487775,0.067006,0.985284,0.065932,0.183962
DNM1,2.995442,0.861822,0.560306,1.503733,4.061498,5.796969,4.803919
ENG,0.588606,1.489547,1.643151,0.805285,19.438002,8.959294,15.473392
AK1,2.954669,1.502239,1.059782,2.527297,6.781207,7.758143,8.422418
CDC37L1,5.923624,2.691351,1.442578,3.689754,5.064635,3.813963,4.912536
RLN2,1.268992,0.251742,0.174421,0.826263,0.438362,1.166586,1.307031
RLN1,0.95169,0.154352,0.128096,0.594454,0.382163,0.560558,0.767015
PLGRKT,3.184535,1.021346,0.906168,2.779449,3.365959,4.254023,6.075148
TBC1D13,1.113065,1.493804,0.840662,1.377504,3.445571,3.942867,4.580602
RIC1,2.020494,2.223204,1.236653,2.132726,2.672394,2.033555,2.27473
KDM4C,10.336938,3.452235,1.365996,9.313988,6.945329,3.822401,2.591111
DOCK8,0.243236,0.328833,0.665011,0.596474,1.324402,0.336879,0.482958
KANK1,1.176073,2.471712,1.548715,2.317785,3.181796,9.15569,8.626891
ELAVL2,1.109304,0.604977,0.177996,0.316468,0.217191,0.207142,0.101657
NCS1,0.61368,1.271066,1.335523,1.013435,3.531404,2.940134,4.562143
TESK1,1.988757,2.581665,0.852481,2.13959,5.938759,6.632226,7.664509
KCNT1,0.141475,0.729632,0.563399,0.197047,0.126712,0.121568,0.148514
CA9,0.074156,0.055696,0.088118,0.067704,0.095386,0.074321,0.1052
FUBP3,7.425687,3.868348,2.017086,4.49879,11.235609,9.63677,13.297661
TYRP1,0.133095,0.022831,0.116082,0.110051,0.051401,0.031082,0.005515
CREB3,10.865625,4.620801,2.168073,8.457283,14.69725,14.742188,19.704857
RGP1,3.385781,2.502683,1.057344,4.040046,8.578002,7.417251,9.795808
MPDZ,8.875841,7.511615,4.82692,10.985316,6.375286,8.930123,8.184809
LHX3,1.473923,3.875754,1.717487,3.189483,13.169219,18.577795,18.657845
DDX58,3.728975,2.464533,2.105062,4.684676,5.722572,3.990421,5.182026
EDF1,50.703617,17.602964,8.565346,35.743912,59.801952,59.748066,73.419685
PIP5K1B,0.641706,1.613859,0.807534,2.538715,2.28865,1.859627,2.681216
GLIS3,2.294667,3.36639,1.213117,2.28277,0.471875,0.442824,0.778014
BAG1,9.478248,2.663691,1.246996,7.617017,9.766442,10.920523,13.583647
RAPGEF1,0.526043,2.338988,1.139959,1.916456,5.432952,4.071746,5.816941
NPDC1,6.080454,8.400899,2.005767,8.245347,35.513359,50.536331,54.345718
APBA1,0.534955,1.108938,0.764455,1.0127,2.092162,2.352861,3.083116
SETX,14.667456,9.273256,4.545749,13.633734,14.696361,13.215122,16.918917
SH3GL2,14.815724,4.185093,0.572469,10.961364,11.398534,16.835012,15.744492
PTGDS,0.670703,2.286446,12.059714,0.45004,79.853867,0.201454,22.069584
ABCA2,3.241258,6.776773,2.070164,4.384489,14.106549,17.911325,17.519951
