Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
TSPAN6,5.027121,4.322248,1.223643,6.357705,5.486886,4.59835,5.073958
TNMD,0.188042,0.229714,0.262452,0.698222,0.09869,0.085426,0.035432
DPM1,13.257966,2.084013,1.345541,6.690092,11.905933,11.578082,14.471189
SCYL3,1.914353,0.813532,0.678432,1.878581,1.420555,1.520208,1.81659
C1orf112,0.616143,0.439787,0.886804,0.674981,0.437183,0.451252,0.266826
FGR,0.04588,0.446825,0.288748,0.119087,0.88666,0.161889,0.307496
CFH,2.606693,2.202914,3.960674,2.28364,21.965933,5.881645,12.603448
FUCA2,4.093045,1.229427,1.082911,3.648879,10.39299,7.842387,9.529678
GCLC,1.715315,1.435667,1.607293,1.556875,2.348886,1.537158,1.776987
NFYA,2.740762,3.318355,2.042789,3.892837,4.056248,5.291844,7.168458
STPG1,1.637584,1.054944,0.816855,2.202611,2.746612,3.41303,2.465228
NIPAL3,0.75567,2.449726,0.602168,2.262806,1.552335,1.701772,1.788759
LAS1L,2.617693,1.00292,0.874156,2.368047,5.350538,3.54467,5.474914
ENPP4,11.904781,3.671104,1.742069,6.854765,13.842106,13.355012,14.177091
SEMA3F,0.099703,0.380434,0.547957,0.726594,2.939046,2.934425,2.456722
CFTR,0.149585,0.034639,0.106195,0.027797,0.021941,0.024032,0.027924
ANKIB1,8.272657,3.437897,2.684724,6.84094,9.427043,8.69756,9.069407
CYP51A1,18.423624,7.517433,3.251308,12.519865,21.626249,20.229322,26.070812
KRIT1,11.961566,4.878789,5.115523,9.955996,10.596385,11.733268,12.036887
RAD52,1.82542,1.62931,1.450701,2.828009,1.880921,1.72793,1.812501
BAD,0.704097,2.339461,1.307152,0.733711,9.669169,10.31286,12.380319
LAP3,7.24529,3.653644,2.724654,5.586801,17.445253,14.458342,14.973847
CD99,2.904994,2.674127,1.900952,3.711137,18.909981,28.742125,42.186951
HS3ST1,0.431445,0.382357,0.307421,0.740091,1.120523,1.08266,0.710546
AOC1,0.040875,0.026352,0.212877,0.039877,0.012379,0.00448,0.00775
WNT16,0.077557,0.154206,0.150146,0.044177,0.337592,0.280487,0.129281
HECW1,0.026122,0.033466,0.338364,0.027441,0.105107,0.001226,0.003097
MAD1L1,1.535597,1.747871,0.631949,0.756557,2.390692,1.085998,0.829889
LASP1,4.814663,5.261581,4.025554,7.090818,18.185015,14.377497,19.558121
SNX11,1.95362,0.565405,0.351029,1.517286,3.012702,2.705693,2.874179
TMEM176A,0.453616,0.855633,0.73331,0.313659,5.651434,3.269458,5.127762
M6PR,11.278806,6.530785,3.754654,9.939002,13.948005,11.269203,16.141344
KLHL13,1.316252,0.967649,0.334998,1.294066,1.206602,1.640818,1.583495
CYP26B1,0.1013,0.642306,0.344021,0.408517,1.943341,0.886943,1.110271
ICA1,9.982992,7.171207,1.221135,6.526821,7.382526,7.718831,9.9802
DBNDD1,0.329606,0.769205,0.412865,0.648359,1.921595,2.311715,2.609362
ALS2,4.577724,4.119385,1.232309,4.579218,5.202477,4.795126,4.689089
CASP10,0.346003,0.700842,0.894666,0.435876,1.264122,0.345538,0.699983
CFLAR,3.624011,2.763262,3.496347,4.147101,6.171459,3.448308,5.53603
TFPI,1.518614,1.923637,2.327339,1.324913,6.914444,1.960054,4.768009
NDUFAF7,3.066146,2.363979,1.235462,3.097943,2.529855,3.456671,3.289502
RBM5,22.435518,21.339968,12.767301,28.018532,15.330543,49.203278,18.756996
MTMR7,8.021399,2.086143,0.394978,4.324279,6.093434,7.517439,7.161247
SLC7A2,1.250166,1.495041,0.972007,1.06486,6.810696,2.624897,4.464116
ARF5,18.859865,6.552438,2.015877,12.696161,23.855839,30.284559,38.154736
SARM1,1.082787,1.089835,0.557876,5.500044,1.903867,2.17254,2.414846
POLDIP2,5.946095,2.732156,1.719618,5.218669,11.366165,12.484578,14.239629
PLXND1,1.00294,1.967037,2.991594,1.154178,10.343304,3.845393,7.114838
AK2,5.774548,4.124888,3.115367,5.484145,6.838233,5.717182,8.372121
CD38,1.111319,0.615584,0.896699,0.638842,2.533354,1.310107,0.926185
FKBP4,4.771559,2.706462,1.826221,6.711369,6.089303,6.001209,7.688101
KDM1A,13.144022,5.991373,2.620753,14.339047,12.614866,15.6373,16.270561
RBM6,10.829759,16.795567,8.754316,13.840768,9.143286,8.296673,9.597913
CAMKK1,4.532517,2.633684,0.285739,3.107662,4.91335,6.504217,6.362296
RECQL,3.93658,1.106625,0.775444,2.23944,4.059752,3.183154,3.880034
VPS50,6.923665,2.589899,1.81002,5.900867,4.123731,5.043912,3.991488
HSPB6,0.111332,0.298633,0.22111,0.156134,3.60832,2.799106,3.923113
ARHGAP33,0.178456,0.843426,0.695905,0.450015,0.629817,0.952853,0.877731
NDUFAB1,25.15361,5.453714,1.847169,14.819273,25.175091,22.153894,30.555319
PDK4,5.154506,23.496721,7.909532,3.015786,31.829739,7.973165,10.956299
ZMYND10,0.740235,0.577919,0.750455,0.978744,0.720303,1.958381,1.628849
ABCB5,0.02656,0.019354,0.162467,0.015172,0.00797,0.001955,0.005495
ARX,0.042802,0.082617,0.07825,0.042358,0.127839,0.101619,0.154911
SLC25A13,4.83247,2.176316,1.041309,3.816611,4.719782,4.291655,5.914118
ST7,4.302292,3.572417,2.290799,5.038415,1.661397,2.69455,4.66935
CDC27,10.912454,4.199457,2.517409,7.402452,11.531217,11.670899,13.702227
SLC4A1,0.018463,0.044588,0.193288,0.031539,0.1241,0.004265,0
CALCR,0.029179,0.055454,0.14981,0.042681,0.112572,0.023044,0.021643
HCCS,2.124158,0.681281,0.455652,1.725125,3.598168,3.378193,4.529466
DVL2,4.533494,3.674288,2.413497,4.465131,7.179776,8.233715,6.256818
PRSS22,0.173555,0.301632,0.137482,0.20935,0.349683,0.371897,0.900537
UPF1,3.933221,4.44861,2.175092,4.119537,10.736479,12.763899,13.443733
SKAP2,4.122933,1.550988,0.756005,3.136787,5.401565,5.266989,3.768462
SLC25A5,10.403598,3.578451,2.057757,9.220268,19.452463,15.448313,20.51709
MCUB,1.628018,0.873345,0.956073,1.116206,2.248323,1.860726,2.658114
POLR2J,4.524553,2.198722,0.89229,4.36447,12.31356,14.746928,17.506845
DHX33,0.895093,0.895584,0.590876,0.976788,1.748543,1.4457,1.557176
THSD7A,3.416073,2.210964,1.277075,2.817321,2.739694,2.243495,2.383065
LIG3,2.784109,2.351109,1.377479,3.506447,3.344942,2.567115,3.454672
RPAP3,4.44086,3.164446,1.48161,4.188761,5.141298,5.49673,5.069684
ACSM3,0.010338,0.012573,0.041579,0.01682,0.159583,0.058056,0.523701
REXO5,0.349949,0.089163,0.197537,0.441852,0.455405,0.823676,0.798704
CIAPIN1,4.731728,1.963258,1.239171,2.881278,4.147981,5.259144,5.301646
SPPL2B,3.953912,2.826416,0.933046,1.546061,7.043914,7.097188,6.746963
FAM214B,1.111196,1.265562,0.367077,1.532604,2.380974,2.248101,2.657592
COPZ2,0.730778,0.813048,1.02563,1.169846,5.041281,1.648983,3.546918
PRKAR2B,9.563689,2.276947,1.019659,6.759067,9.513964,11.205675,9.11658
MSL3,3.311665,1.365841,1.063711,2.990803,2.922632,3.175525,2.805638
CREBBP,2.526083,7.124305,3.677652,3.485579,10.509678,8.252939,9.317332
TSPOAP1,1.25897,3.449876,1.536823,2.148663,1.36479,2.240793,1.760545
MPO,0.175095,0.072356,0.14145,0.136297,2.032427,0.343392,0.158549
PON1,0.492018,0.383239,0.189465,0.618531,0.07441,0.269311,0.071835
GCFC2,4.704814,1.888515,1.486795,3.208287,5.673611,4.824646,5.827388
WDR54,5.707536,2.060469,0.478494,3.781658,6.964958,8.20845,8.541939
CROT,2.539001,1.34955,1.113541,2.784827,3.29931,3.17076,4.457188
ABCB4,0.07023,0.096026,0.238164,0.135177,0.502383,0.104433,0.229468
KMT2E,9.976496,9.713467,6.146093,8.167164,12.165764,11.710609,12.019821
RHBDD2,27.052303,14.425234,3.909236,20.407717,87.525726,85.717979,92.13707
SOX8,0.020156,0.125927,0.271047,0.085988,0.207907,0.170292,0.225266
IBTK,6.348681,2.284405,1.33148,4.996286,6.251617,6.577353,7.100854
ZNF195,3.813909,1.299824,1.287445,3.125665,5.106381,4.171917,4.865306
MYCBP2,9.94839,6.5233,4.03423,10.861192,12.364509,10.227979,11.296316
FBXL3,2.891507,0.819241,0.697537,1.820573,3.374734,3.053589,3.482436
ITGAL,0.255239,0.29174,0.282582,0.383103,0.627536,0.151007,0.350549
PDK2,1.348846,1.229362,1.005655,1.855437,3.860012,3.982472,5.700563
ITGA3,4.601779,5.283348,2.01158,6.560744,12.055588,11.88748,13.701998
ZFX,4.11405,2.194587,1.655809,2.860144,4.86991,3.726788,4.670937
LAMP2,20.309509,7.461555,4.131881,14.849703,33.616879,29.753599,32.406258
ITGA2B,0.066544,0.171811,0.348967,0.098787,0.13128,0.113209,0.11023
ASB4,5.290734,3.624689,0.851313,8.284556,4.189445,7.011825,14.251265
GDE1,9.127647,2.957206,1.33845,7.096642,14.461797,14.173236,17.917084
REX1BD,3.650085,1.75672,0.895977,3.424566,7.926804,11.450212,10.930093
CRLF1,0.209275,0.368966,0.638611,0.23591,1.104069,1.792122,1.790373
OSBPL7,0.358501,0.920822,0.568134,0.91932,0.904736,0.845079,1.041413
TMEM98,0.552179,1.132368,0.811037,0.876458,3.698885,1.711888,3.402808
YBX2,0.098993,0.145601,0.096014,0.055616,0.039473,0.065389,0.035912
MAP3K14,0.251464,1.090816,0.292811,0.420463,0.789879,0.63976,0.52298
ABCC8,3.610484,1.351696,1.368281,1.376671,6.473104,4.759706,7.104968
TMEM132A,0.913194,1.030777,1.274719,1.112783,5.100425,6.665362,6.660967
AP2B1,15.99097,9.353598,6.497901,15.136454,35.264324,41.268383,45.309746
TAC1,0.137397,0.413996,0.437718,0.137554,0.125869,0.043968,0.060448
ZNF263,4.784262,1.371262,0.898698,3.23198,3.805538,7.43582,9.003444
CX3CL1,0.418909,0.830773,1.079547,0.203751,3.372027,3.13,3.837982
SPATA20,2.436138,3.182128,1.65779,2.625368,8.396537,8.217712,8.014686
CACNA1G,0.02084,0.039927,0.137057,0.01623,0.035304,0.011491,0.022552
TNFRSF12A,3.156457,9.024131,1.239472,4.438572,8.343048,15.696883,19.071247
DLX6,0.032667,0.038811,0.536045,0.034422,0.062575,0.023837,0.027727
MAP3K9,1.716591,0.897997,0.69272,1.314633,2.292013,2.624884,2.016335
RALA,3.530443,2.241639,1.745572,3.416877,6.585903,8.40239,11.870375
BAIAP2L1,0.783075,1.345521,0.476393,1.102962,2.009009,4.169529,3.793324
KDM7A,1.421085,1.245012,0.877408,1.22117,2.596221,1.848556,2.504031
ETV1,5.881219,2.872811,3.629199,3.87742,6.655961,8.178696,7.917657
AGK,2.622736,2.177166,2.026846,2.916787,2.664911,1.385081,1.615892
ALDH3B1,0.574315,0.51042,0.169738,0.513065,2.505575,1.544803,3.617876
TTC22,0.631081,0.986928,0.614585,1.153858,1.690737,2.613665,3.857936
PHTF2,3.572112,1.521644,0.750454,3.064039,4.083358,3.798828,4.340276
CCL26,0.598409,0.451804,0.362618,0.39723,14.509086,0.762968,4.453624
FARP2,1.280344,1.750638,2.919356,1.645877,1.694485,1.615495,1.96711
USH1C,0.646506,1.071537,0.485401,2.807512,3.468553,6.6949,2.005959
GGCT,4.241143,1.40267,1.605218,3.051812,5.059618,5.572048,7.909212
DBF4,1.385457,0.824023,0.359239,0.812163,1.470907,1.074401,0.994389
TBXA2R,0.029907,0.052924,0.109841,0.058401,0.458127,0.464538,0.538923
IFRD1,3.381603,6.948273,1.184121,4.848897,8.058828,6.026112,5.840687
COX10,0.905294,0.574197,0.65818,1.448264,1.779387,1.878636,2.132732
GTF2IRD1,3.049811,3.350645,1.031947,2.964718,6.733356,9.653716,5.989059
PAF1,6.328026,4.216486,2.208138,5.029885,13.32954,14.816098,15.034327
VPS41,15.278453,6.555072,2.790722,12.30864,12.275984,12.375986,12.063692
ARHGAP44,2.636397,2.370197,1.618694,2.994422,2.332029,5.292193,3.404631
ELAC2,3.293912,2.217273,1.453481,4.352113,5.458712,5.490772,7.304713
SCIN,0.288764,0.628484,0.615353,0.330718,0.737173,1.314541,2.402153
ARSD,0.786621,1.420142,1.226382,1.761596,2.812125,2.260626,4.114651
PNPLA4,2.457053,0.975115,0.639728,2.295363,4.71437,3.767616,3.948697
ADIPOR2,1.547515,1.470073,0.379764,1.195566,3.986165,2.711469,3.185426
CDKL3,0.396559,0.781119,0.317162,0.298303,0.207427,0.330648,0.259884
UPP2,0.234727,0.256566,0.333837,0.38034,0.194992,0.193219,0.15891
MARK4,0.771284,1.102132,1.079791,1.316547,4.444816,4.131765,5.261596
PROM1,0.052404,0.074788,0.137763,0.058881,0.530383,0.023955,0.035894
CCDC124,1.777113,1.209377,1.085094,1.871354,8.401338,11.314963,11.308476
CEACAM21,0.024919,0.021563,0.112078,0.047812,0.080123,0.111136,0.140513
PAFAH1B1,8.778135,8.868048,6.891771,9.736822,13.222777,11.713824,14.80302
NOS2,0.310943,0.107964,0.256342,0.110572,0.327914,0.428843,0.177839
DNAH9,0.27628,0.571095,0.924979,0.703357,0.918563,0.845685,1.386879
KIAA0100,9.410161,8.743141,3.694056,10.852633,14.769732,13.8901,16.454359
GAS7,0.542561,0.566989,1.627929,0.144122,2.039397,1.179153,1.31394
TRAPPC6A,1.347316,0.673879,0.382398,1.877735,4.376338,5.091613,3.856685
MATK,0.050233,0.057995,0.149998,0.065259,0.71664,0.137028,1.064756
CD79B,5.119627,0.472456,0.258647,1.972673,9.025254,4.275323,3.195501
SCN4A,0.144843,0.06452,0.219211,0.130804,0.405818,0.166643,0.35464
ST7L,4.999162,1.710172,1.06462,3.607887,2.506921,5.232562,3.037468
TKTL1,0.085457,0.077131,0.226456,0.027845,0.356862,0.279731,0.429747
PAX6,0.352265,0.956838,0.74623,0.654879,2.699801,0.683582,1.67426
RPUSD1,0.98905,0.386086,0.238528,0.866369,1.584814,2.214914,2.609172
RHBDF1,0.119921,0.630835,0.456843,0.16696,2.268361,0.872963,1.55093
LUC7L,6.39904,5.73372,2.961663,10.429699,4.38781,7.344745,5.737531
CACNA2D2,0.273658,0.470726,0.237072,0.263764,0.954594,0.660196,0.560308
BAIAP3,21.142839,37.996685,5.369679,35.701195,57.637142,50.026901,45.786629
TSR3,2.528775,1.547017,0.856304,2.888687,7.722198,10.301391,9.888481
PIGQ,2.314739,3.311348,0.968486,5.221653,7.265114,7.875527,8.958209
CRAMP1,1.695195,2.00526,1.305537,1.974267,3.476332,2.947373,3.046331
TEAD3,0.148229,0.421345,0.578529,0.128789,1.674301,0.725669,1.506008
SELE,0.107399,3.0383,0.456518,0.743528,0.988201,3.982453,1.023149
DNAJC11,3.01263,1.549528,0.663489,2.97353,4.877405,4.138775,5.0315
FMO3,0.421995,0.412174,0.222147,0.669026,4.178567,0.955842,0.686047
MYLIP,2.482543,1.245672,1.568252,2.114173,4.654583,4.346492,5.588689
NOX1,0.145672,0.025079,0.16124,0.076434,0.134478,0.148582,0.112822
E2F2,0.012003,0.010749,0.071979,0.015398,0.098449,0.002256,0.008135
PSMB1,40.879692,8.679783,4.274184,25.374701,49.975178,44.006153,52.782326
SYN1,2.112904,2.955552,0.690959,2.841168,13.131069,15.993894,13.786081
JARID2,1.263675,1.295552,1.239679,1.750167,2.684096,2.731445,1.801889
CDKL5,1.338003,1.079398,0.975299,1.713429,1.611979,1.736042,2.267594
CAMK1G,0.454511,0.429241,0.376697,0.328287,0.991002,0.958258,1.230261
CDK11A,1.778793,2.434157,1.80975,1.822039,3.503636,4.207073,2.668417
NADK,2.685349,2.361086,1.263195,2.897107,7.006197,6.292452,7.745967
TFAP2B,0.049626,0.053955,0.189233,0.098994,0.397176,0.254555,0.24576
DLEC1,0.724147,1.747311,1.509998,1.309614,1.234972,1.296128,1.292032
CYTH3,0.862593,1.262432,1.495623,1.12461,4.561855,2.85065,3.949014
ADAM22,2.929065,2.303,1.196237,4.24528,3.378632,4.274378,3.580575
SYPL1,11.584068,3.974517,2.627487,8.597075,20.328482,16.351618,19.287327
CYB561,13.139881,8.279454,2.141976,13.691549,22.237932,25.454716,28.259809
SPAG9,25.352203,12.400317,8.298589,18.771189,20.645233,20.170465,15.774062
CELSR3,1.899,2.450025,0.578874,2.431966,4.082673,3.86323,4.781772
AASS,3.692981,3.2315,2.441515,2.894464,3.925892,3.671085,4.141589
PLEKHG6,0.153162,0.495744,0.51205,0.416913,0.756004,0.471214,0.626438
SS18L2,1.063996,0.37109,0.273104,0.532438,1.465947,1.222581,1.93311
MPND,0.443247,0.389105,0.318468,0.420451,1.785398,1.686716,1.812936
MGST1,0.471029,1.37756,3.590436,0.579355,6.576041,1.837342,19.003538
CRY1,4.836724,3.155973,1.137387,4.029947,4.020938,4.691255,3.824073
PGLYRP1,0.424186,0.751053,0.228824,0.574409,0.650225,0.225535,0.24712
NFIX,0.74285,2.343955,6.270658,1.544884,16.241446,17.939997,23.061617
ST3GAL1,1.492742,2.72991,1.448864,1.64987,3.954293,2.78375,4.075464
MMP25,0.084199,0.084309,0.101425,0.094223,0.203622,0.325201,0.289928
IL32,0.69973,0.968834,1.034721,0.743538,3.45865,2.483904,1.507168
PKD1,3.199134,27.583111,3.023132,6.689152,10.639273,9.771262,9.831602
MAPK8IP2,2.681744,2.290647,0.861176,3.214756,9.785534,12.953605,11.035159
MED24,4.202246,3.227143,2.607014,5.672607,7.387922,5.407069,6.56061
RHOBTB2,0.323406,0.603456,0.328201,0.570957,4.798143,1.724728,1.88718
HEATR5B,5.463524,3.312951,2.159266,4.754175,4.893948,4.940617,5.324031
SEC62,21.181265,7.403787,4.595002,15.246799,27.662066,27.046202,31.624346
RPS20,241.439667,58.161358,37.826141,144.271332,311.908478,339.663666,329.30069
CSDE1,68.952591,17.08687,11.966083,40.907925,63.49395,77.56176,66.805336
UBE3C,7.161337,5.002,3.318918,8.52623,9.825821,9.612184,9.244452
REV3L,9.968466,8.49826,4.507072,9.483674,7.581016,8.174216,7.360209
TENM1,2.598509,2.807978,0.38107,4.260638,4.112783,1.809165,1.250455
MASP2,0.439401,0.444732,0.300938,0.676601,0.589793,0.300256,0.432298
FAM76A,6.982338,1.671685,0.919645,3.518519,6.094928,6.33673,6.123955
TRAF3IP3,0.159072,0.094022,0.71708,0.183234,0.102939,0.082257,0.125108
POMT2,2.365565,1.876696,1.427993,2.749895,2.04166,2.235132,2.365838
VTA1,2.730318,0.746112,0.511015,1.801435,3.327295,2.950008,3.403816
MLXIPL,0.054024,0.559396,0.412855,0.255032,0.609774,0.74713,0.868294
BAZ1B,12.930941,9.955604,4.972763,12.796245,17.341036,19.816071,21.37994
RANBP9,9.216537,3.842734,2.710478,7.130263,11.592761,12.328167,13.54142
ETV7,0.516543,0.339584,0.150944,0.220336,1.148036,3.064119,1.850559
SPRTN,3.555964,0.967757,0.759117,2.474606,3.429295,3.057308,3.584076
EEF1AKNMT,1.876744,1.048073,0.586503,2.207353,3.142137,3.125604,3.786391
DYRK4,2.040727,0.713665,1.433636,2.505812,2.381701,2.817124,4.324566
ZNF207,14.567197,13.150506,7.18126,13.031438,10.940982,9.637854,10.256978
UQCRC1,14.62927,5.786629,2.519007,11.726332,22.670311,27.563686,28.825703
STARD3NL,11.904108,4.240267,2.089845,8.062471,13.822737,12.837867,14.606755
CD9,6.382846,7.786365,2.540932,7.430087,25.985119,26.858412,41.457375
HHATL,0.226889,0.423459,0.196075,0.278325,0.872207,1.16276,2.405401
NCAPD2,0.45618,1.204241,1.418361,1.594273,5.181932,2.351241,5.739011
IFFO1,1.451094,1.382916,1.138138,1.743627,3.026734,2.723239,2.546442
GIPR,0.028209,0.040924,0.147088,0.016748,0.077922,0.016662,0.006505
PHF7,0.887548,0.58479,0.305455,0.595182,1.73729,1.696375,1.373553
SEMA3G,0.075338,0.127119,1.001243,0.094331,0.903925,0.162222,1.576948
NISCH,23.272186,20.735411,7.18896,16.378849,24.650799,31.299938,34.24934
STAB1,2.705731,1.445567,1.408977,1.569591,10.62442,4.833583,4.339461
FUZ,1.899755,1.390717,1.149535,1.810885,2.436711,4.223704,2.368487
SLC6A13,0.070705,0.17437,0.629463,0.05736,1.078666,0.033973,0.165402
IDS,25.898623,21.238974,6.326988,23.162769,50.155251,51.912289,68.075195
PRSS3,0.03605,0.043295,0.215136,0.048336,0.004448,0.001424,0.00825
ZNF200,1.74967,0.537652,0.679265,1.492493,1.866355,1.811392,1.706473
CD4,0.889064,0.649546,0.599768,0.955285,8.387663,1.581939,4.074312
LRRC23,2.588652,1.335962,0.868635,2.23463,3.634721,3.992274,3.274129
BTK,0.252827,0.247252,0.534492,0.272583,1.110609,0.271426,0.691208
HFE,0.1438,0.131224,0.320284,0.268476,0.833893,0.292552,0.757915
SCMH1,3.110295,3.455038,2.515025,4.466698,5.874987,6.64859,7.227596
FYN,3.140574,3.435841,3.876273,3.193939,3.716379,6.191704,6.688337
HIVEP2,1.941697,4.150388,1.819539,2.639212,3.963129,4.660576,4.079846
FMO1,0.089143,0.071974,0.35244,0.10897,2.415806,0.623954,0.472268
ELOA,5.624724,2.811058,1.636917,4.695843,8.020542,8.188416,11.133383
LYPLA2,3.173083,1.644269,0.945144,2.850118,5.739249,6.387646,8.584118
CLCN6,1.811885,1.860271,0.879144,1.976336,2.248569,1.857488,1.481937
MRC2,0.734011,2.249712,1.809011,1.115985,10.940624,5.390508,8.430401
NME1-NME2,20.256342,5.671024,4.080005,15.28641,36.44846,34.140972,46.814556
TSPAN9,0.425377,1.124653,1.174049,1.009198,2.966703,1.508885,3.582323
BTBD7,1.394913,1.720831,0.929308,1.747399,2.969867,1.9567,3.168291
APBA3,1.520729,0.784601,0.810923,1.907097,2.168201,2.126549,2.801245
MKS1,1.561137,0.775944,0.527943,1.795641,0.703013,0.978321,0.902111
ABHD5,2.108866,0.514006,0.844097,2.090371,2.465785,2.025082,2.747636
ANOS1,0.185261,0.485902,0.565741,0.406837,1.016021,0.308506,1.149112
AKAP8L,6.854767,4.160336,3.462844,6.27894,1.896016,2.684831,2.476526
MBTD1,3.194701,1.798936,0.875754,2.825268,2.660777,1.856856,1.982238
UTP18,11.746125,4.149545,1.471355,8.77896,10.985661,10.821852,11.019253
RNF216,4.316516,3.429627,1.839571,4.197908,7.456618,8.313465,9.241566
TTC19,11.171986,10.139564,2.80174,11.322568,13.591604,12.527269,14.048551
PTBP1,7.262718,8.39219,4.066385,7.988751,23.347319,27.6528,32.130688
DPF1,0.397393,0.125196,0.134043,0.613653,1.04271,1.116324,1.1527
SYT7,3.579465,3.649864,1.090708,4.360255,15.425662,16.846214,20.595123
LARS2,1.866104,1.269838,0.748053,2.620482,3.135044,3.196985,2.885578
PIK3C2A,5.93665,6.554926,3.031981,5.234756,5.953909,5.808752,6.923426
PLAUR,0.144972,4.581244,1.391807,0.417557,1.624322,1.099743,1.994978
ANLN,0.184338,0.055314,0.186266,0.063584,0.564067,0.070047,0.072883
WIZ,0.448091,0.633707,0.391195,0.659835,2.4009,2.569849,3.00648
RABGAP1,6.603653,2.783117,3.94977,7.551303,10.455109,9.552053,12.338407
DCN,5.473565,4.905359,11.368016,4.888828,30.809069,11.378407,19.904512
QPCTL,0.726878,0.574262,0.200421,0.553533,1.533295,1.869585,2.079966
PPP5C,8.614311,5.558228,3.268894,7.000972,10.153683,12.815258,12.467102
CEP68,2.648952,1.903302,1.3303,2.921299,4.046233,4.197649,5.512868
MAP4K3,10.245839,3.47775,2.262863,9.306936,9.382796,10.88196,10.500809
ZBTB32,0.17051,0.109659,0.249584,0.31367,0.163964,0.159753,0.126263
TYROBP,1.407928,1.07018,0.993242,0.665755,20.125885,3.101026,9.547656
TMEM159,0.135676,0.272067,0.559017,0.331534,1.317934,0.593651,1.765107
GABRA3,0.047196,0.088679,1.1848,0.042347,0.157098,0.004978,0.540528
BRCA1,0.443782,0.226882,0.430947,0.287703,0.780867,0.938942,1.039172
ERCC1,2.334545,2.55493,0.413369,2.410335,3.106103,9.963544,7.787654
CD22,0.034401,0.21639,0.656979,0.04563,0.322441,0.150795,0.692908
SEMA3B,0.115961,0.597692,0.933293,0.565459,2.973384,0.745496,2.255594
MBTPS2,3.791514,1.800559,0.50186,3.637162,6.639999,7.037274,8.995852
PRICKLE3,0.178291,0.416062,0.279842,0.490328,1.161207,1.074938,1.803014
LTF,0.541277,0.317453,0.223455,1.255393,19.896145,2.941577,3.108276
EXTL3,1.677976,1.774079,1.440851,1.967705,2.786567,2.9345,4.680455
NR1H4,0.540677,0.389182,0.2026,0.371348,1.457839,0.424555,0.953065
ELOVL5,6.631585,6.554384,3.591723,6.698125,18.445168,13.978604,16.692108
ALOX5,0.203998,0.281041,0.345301,0.361323,1.825235,0.415712,0.478764
CALCOCO1,8.070549,6.170077,4.070003,8.621721,9.340972,9.066217,9.138133
UBR7,1.863511,1.117657,0.502635,1.498711,3.081988,3.201099,3.549906
MAP4K5,5.795658,3.101405,2.353018,4.53765,5.531158,5.183637,5.623965
EHD3,2.347514,1.71866,0.613302,2.880644,3.611826,4.141072,4.718666
PSMC4,6.485769,3.132143,1.081135,5.34374,9.058017,9.56604,11.051116
MAN2B2,2.587924,2.422131,1.137628,3.115234,11.704556,11.879999,12.50234
SLC7A14,10.029463,5.592155,1.746275,11.988811,17.389904,21.597637,21.446524
CLDN11,1.109981,2.039331,2.30887,1.63184,39.172222,5.223114,13.762891
SLC25A39,3.353862,3.570131,1.663175,4.805065,9.737289,12.729602,16.555637
MVP,1.733066,1.511956,2.510368,2.527046,9.714783,7.4378,9.792928
NUB1,6.964276,3.824165,2.065135,6.286303,11.76359,10.743179,9.411307
PGM3,19.930727,4.636735,1.950631,14.191538,6.876125,8.733102,8.82108
RWDD2A,2.482614,0.864458,0.40377,1.906054,2.467714,2.123063,2.806918
CLK1,35.224739,33.217381,19.205591,25.135176,15.258952,11.755112,15.178578
POLR3B,0.576568,0.290921,0.326285,0.559648,0.53202,0.628383,0.671715
ANGEL1,3.193319,1.988682,1.438718,3.189965,4.103769,5.05348,5.258385
RNF14,11.111119,1.423944,0.987647,7.975283,9.8564,9.900011,12.613335
DNASE1L1,1.213774,0.901842,0.610333,1.132545,3.238647,2.25792,3.606661
DDX11,0.538151,1.445764,2.057579,1.74468,0.87806,0.386934,2.371144
HEBP1,2.080696,1.758776,1.158965,3.425451,11.864152,8.114552,10.776584
GPRC5A,0.026083,1.292826,0.20205,0.087768,0.586164,0.080108,0.201936
MAMLD1,0.555572,0.896518,0.970888,0.772237,2.186379,2.60152,1.243603
CD6,0.029767,0.056547,0.597459,0.087897,0.427397,0.017327,0.269059
TACC3,0.380003,0.302582,0.215729,0.64879,1.236127,0.584561,0.914108
UFL1,15.972443,3.968253,2.092921,9.67515,14.011868,15.461385,18.782381
POLA2,0.687582,0.592526,0.401244,0.647777,1.040547,1.282014,1.451917
ZC3H3,0.282315,0.661129,0.463364,0.086158,2.113113,1.924942,2.054564
CAPN1,3.566801,4.179032,1.953612,4.657085,18.608721,19.587368,18.963381
ACP3,0.058679,0.172046,0.403941,0.062753,0.494676,0.142008,0.633198
MDH1,48.407837,14.93271,4.654585,34.206451,45.416985,44.25629,50.510975
SLC30A9,22.490911,5.809876,2.181344,14.132002,16.791382,16.920763,18.086357
MTMR11,0.590051,1.818612,2.055514,0.966985,1.565718,2.779361,2.733671
COX15,5.087541,2.312074,1.036913,4.565668,5.649785,6.489719,7.805378
CCDC88C,0.483292,1.398152,1.978514,1.520779,2.826569,2.543601,4.030817
YAF2,3.814726,2.371035,0.98515,4.953335,3.702628,4.834671,3.52754
ZMYND11,5.458048,2.507702,4.421306,6.812971,7.798505,11.109308,7.616585
WAS,0.103497,0.316044,0.392778,0.296166,2.362302,0.600018,1.304626
